Penguin Solutions PE Ratio Historical Data,Penguin Solutions PE Ratio Historical Data,Penguin Solutions PE Ratio Historical Data,Penguin Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.75,,0.0
2024-11-30,18.14,$-0.52,0.0
2024-08-31,20.72,$-1.00,0.0
2024-05-31,20.58,$-3.08,0.0
2024-02-29,21.27,$-3.68,0.0
2023-11-30,16.66,$-3.97,0.0
2023-08-31,25.83,$-3.49,0.0
2023-05-31,22.58,$-0.55,0.0
2023-02-28,16.7,$0.39,42.82
2022-11-30,16.91,$0.98,17.26
2022-08-31,18.35,$1.25,14.74
2022-05-31,24.65,$1.24,19.96
2022-02-28,27.45,$0.65,42.56
2021-11-30,28.51,$0.72,39.6
2021-08-31,24.23,$0.40,61.34
2021-05-31,23.7,$0.16,152.9
2021-02-28,23.35,$0.32,72.95
2020-11-30,15.35,$-0.00,0.0
2020-08-31,12.6,$-0.04,0.0
2020-05-31,13.39,$-0.07,0.0
2020-02-29,13.42,$-0.04,0.0
2019-11-30,15.4,$0.44,35.0
2019-08-31,14.21,$1.10,12.91
2019-05-31,8.52,$1.62,5.26
2019-02-28,14.66,$2.27,6.47
2018-11-30,17.15,$2.79,6.15
2018-08-31,16.5,$2.59,6.38
2018-05-31,22.27,$1.71,13.06
2018-02-28,17.36,$1.27,13.67
