System1 PE Ratio Historical Data,System1 PE Ratio Historical Data,System1 PE Ratio Historical Data,System1 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.47,,0.0
2024-12-31,0.9,$-0.88,0.0
2024-09-30,1.12,$-1.21,0.0
2024-06-30,1.52,$-2.27,0.0
2024-03-31,1.96,$-2.27,0.0
2023-12-31,2.22,$-2.48,0.0
2023-09-30,1.21,$-2.15,0.0
2023-06-30,4.5,$-1.10,0.0
2023-03-31,4.3,$-1.05,0.0
2022-12-31,4.69,$-0.68,0.0
2022-09-30,6.29,$-0.68,0.0
2022-06-30,6.97,$-0.33,0.0
2022-03-31,14.51,0,0.0
2021-12-31,9.96,0,0.0
2021-09-30,9.91,0,0.0
2021-06-30,9.9,0,0.0
