Upexi PE Ratio Historical Data,Upexi PE Ratio Historical Data,Upexi PE Ratio Historical Data,Upexi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.53,,0.0
2024-12-31,3.51,$-6.79,0.0
2024-09-30,0.2,$-7.95,0.0
2024-06-30,0.36,$-7.80,0.0
2024-03-31,0.58,$-7.80,0.0
2023-12-31,1.16,$-6.00,0.0
2023-09-30,1.73,$-0.60,0.0
2023-06-30,2.25,$-2.40,0.0
2023-03-31,4.05,$-2.40,0.0
2022-12-31,3.0,$-0.20,0.0
2022-09-30,3.87,$-3.20,0.0
2022-06-30,4.2,$0.60,7.0
2022-03-31,5.09,$0.60,8.48
