Affiliated Managers PE Ratio Historical Data,Affiliated Managers PE Ratio Historical Data,Affiliated Managers PE Ratio Historical Data,Affiliated Managers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,169.43,,11.22
2024-12-31,184.92,$15.10,12.25
2024-09-30,177.79,$15.33,11.6
2024-06-30,156.21,$17.03,9.17
2024-03-31,167.44,$18.02,9.29
2023-12-31,151.38,$17.35,8.73
2023-09-30,130.3,$29.60,4.4
2023-06-30,149.83,$26.92,5.57
2023-03-31,142.35,$26.35,5.4
2022-12-31,158.35,$26.32,6.02
2022-09-30,111.78,$13.09,8.54
2022-06-30,116.52,$13.29,8.77
2022-03-31,140.85,$13.16,10.7
2021-12-31,164.38,$13.13,12.52
2021-09-30,150.96,$11.50,13.13
2021-06-30,154.07,$10.03,15.36
2021-03-31,148.88,$8.13,18.31
2020-12-31,101.59,$4.39,23.14
2020-09-30,68.3,$2.31,29.57
2020-06-30,74.46,$2.49,29.9
2020-03-31,59.05,$3.95,14.95
2019-12-31,84.29,$0.41,205.59
2019-09-30,82.6,$-2.93,0.0
2019-06-30,90.94,$-2.30,0.0
2019-03-31,105.35,$-2.25,0.0
2018-12-31,95.55,$4.39,21.77
2018-09-30,133.73,$12.77,10.47
2018-06-30,145.13,$12.65,11.47
2018-03-31,184.73,$12.71,14.53
2017-12-31,199.68,$12.07,16.54
2017-09-30,184.48,$9.24,19.97
2017-06-30,161.01,$9.02,17.85
2017-03-31,158.94,$8.77,18.12
2016-12-31,140.69,$8.56,16.44
2016-09-30,140.11,$8.61,16.27
2016-06-30,136.3,$8.59,15.87
2016-03-31,157.25,$8.93,17.61
2015-12-31,154.69,$9.29,16.65
2015-09-30,165.57,$9.59,17.26
2015-06-30,211.67,$9.45,22.4
2015-03-31,207.97,$8.91,23.34
2014-12-31,205.51,$8.03,25.59
2014-09-30,194.0,$7.80,24.87
2014-06-30,198.88,$7.33,27.13
2014-03-31,193.7,$6.74,28.74
2013-12-31,210.0,$6.49,32.36
2013-09-30,176.85,$5.10,34.68
2013-06-30,158.74,$4.77,33.28
2013-03-31,148.7,$3.71,40.08
2012-12-31,126.02,$3.27,38.54
2012-09-30,119.1,$2.64,45.11
2012-06-30,105.98,$2.36,44.91
2012-03-31,108.26,$3.09,35.04
2011-12-31,92.91,$3.12,29.78
2011-09-30,75.57,$3.53,21.41
2011-06-30,98.23,$3.42,28.72
2011-03-31,105.9,$3.10,34.16
2010-12-31,96.07,$2.74,35.06
2010-09-30,75.54,$2.11,35.8
2010-06-30,58.84,$1.86,31.64
2010-03-31,76.49,$1.59,48.11
2009-12-31,65.21,$1.36,47.95
