Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.28,,32.03
2024-12-31,91.25,$3.10,29.44
2024-09-30,96.89,$3.31,29.27
2024-06-30,76.91,$3.57,21.54
2024-03-31,89.61,$3.63,24.68
2023-12-31,93.58,$3.74,25.02
2023-09-30,88.47,$3.58,24.71
2023-06-30,95.52,$3.28,29.12
2023-03-31,99.91,$3.08,32.44
2022-12-31,94.71,$2.87,33.0
2022-09-30,79.98,$2.82,28.36
2022-06-30,72.11,$3.55,20.31
2022-03-31,85.27,$3.73,22.86
2021-12-31,109.08,$3.71,29.4
2021-09-30,102.43,$3.55,28.85
2021-06-30,103.42,$2.39,43.27
2021-03-31,100.66,$0.84,119.83
2020-12-31,98.13,$0.56,175.22
2020-09-30,78.43,$0.77,101.86
2020-06-30,66.82,$1.11,60.19
2020-03-31,59.37,$2.81,21.13
2019-12-31,79.03,$3.06,25.83
2019-09-30,79.09,$2.93,26.99
2019-06-30,74.7,$2.82,26.49
2019-03-31,66.24,$2.31,28.68
2018-12-31,57.09,$2.25,25.37
2018-09-30,50.12,$3.21,15.61
2018-06-30,42.77,$3.19,13.41
2018-03-31,50.42,$3.05,16.53
2017-12-31,49.75,$3.03,16.42
2017-09-30,46.28,$1.97,23.49
2017-06-30,50.02,$1.97,25.39
2017-03-31,49.88,$2.01,24.82
2016-12-31,47.21,$1.95,24.21
2016-09-30,45.83,$1.90,24.12
2016-06-30,48.18,$1.79,26.92
2016-03-31,50.18,$1.69,29.69
2015-12-31,50.29,$1.63,30.85
2015-09-30,47.47,$1.82,26.08
2015-06-30,44.65,$1.78,25.16
2015-03-31,39.31,$1.70,23.12
2014-12-31,33.93,$1.65,20.57
2014-09-30,31.08,$1.36,22.94
2014-06-30,31.76,$1.29,24.72
2014-03-31,30.01,$1.23,24.5
2013-12-31,31.94,$1.20,26.62
2013-09-30,31.26,$1.13,27.66
2013-06-30,26.53,$1.05,25.39
2013-03-31,22.99,$0.99,23.34
2012-12-31,21.57,$0.93,23.19
2012-09-30,20.31,$0.90,22.69
2012-06-30,21.27,$0.90,23.63
2012-03-31,22.23,$0.87,25.69
2011-12-31,18.23,$0.84,21.83
2011-09-30,14.72,$0.81,18.17
2011-06-30,15.53,$0.76,20.43
2011-03-31,14.48,$0.72,20.25
2010-12-31,12.54,$0.69,18.31
2010-09-30,9.93,$0.62,16.01
2010-06-30,9.39,$0.54,17.56
2010-03-31,9.34,$0.50,18.69
2009-12-31,8.88,$0.38,23.67
