Kimbell Royalty PE Ratio Historical Data,Kimbell Royalty PE Ratio Historical Data,Kimbell Royalty PE Ratio Historical Data,Kimbell Royalty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.19,,0.0
2024-12-31,16.23,$-0.11,0.0
2024-09-30,15.69,$0.51,30.75
2024-06-30,15.54,$0.48,32.37
2024-03-31,14.29,$0.60,23.82
2023-12-31,13.48,$0.92,14.65
2023-09-30,13.88,$1.26,11.01
2023-06-30,12.43,$1.66,7.49
2023-03-31,12.58,$1.98,6.36
2022-12-31,13.38,$1.75,7.65
2022-09-30,13.24,$1.71,7.75
2022-06-30,11.86,$1.16,10.23
2022-03-31,11.97,$0.65,18.41
2021-12-31,9.78,$0.50,19.56
2021-09-30,9.9,$-1.60,0.0
2021-06-30,8.77,$-2.14,0.0
2021-03-31,6.75,$-3.57,0.0
2020-12-31,5.15,$-4.84,0.0
2020-09-30,3.85,$-5.45,0.0
2020-06-30,5.34,$-5.68,0.0
2020-03-31,3.54,$-4.83,0.0
2019-12-31,10.05,$-3.75,0.0
2019-09-30,8.44,$-1.58,0.0
2019-06-30,9.04,$-1.00,0.0
2019-03-31,10.22,$-0.38,0.0
2018-12-31,7.42,$-3.40,0.0
2018-09-30,10.47,$-3.24,0.0
2018-06-30,11.52,$-3.08,0.0
2018-03-31,9.71,$-3.14,0.0
2017-12-31,8.15,$0.09,90.52
