ZIM Integrated Shipping Services PE Ratio Historical Data,ZIM Integrated Shipping Services PE Ratio Historical Data,ZIM Integrated Shipping Services PE Ratio Historical Data,ZIM Integrated Shipping Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.97,,1.01
2024-12-31,21.47,$17.83,1.2
2024-09-30,25.66,$11.94,2.15
2024-06-30,22.17,$-16.30,0.0
2024-03-31,10.12,$-21.17,0.0
2023-12-31,9.87,$-22.42,0.0
2023-09-30,10.45,$-17.75,0.0
2023-06-30,12.39,$10.81,1.15
2023-03-31,23.58,$23.67,1.0
2022-12-31,17.19,$38.36,0.45
2022-09-30,23.5,$49.09,0.48
2022-06-30,42.33,$51.59,0.82
2022-03-31,62.55,$47.90,1.31
2021-12-31,41.5,$38.84,1.07
