Yum China PE Ratio Historical Data,Yum China PE Ratio Historical Data,Yum China PE Ratio Historical Data,Yum China PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.53,,22.55
2024-12-31,48.17,$2.33,20.67
2024-09-30,44.86,$2.26,19.85
2024-06-30,30.59,$2.07,14.78
2024-03-31,39.29,$1.99,19.74
2023-12-31,41.73,$1.96,21.29
2023-09-30,54.65,$1.86,29.38
2023-06-30,55.27,$1.77,31.23
2023-03-31,61.88,$1.50,41.25
2022-12-31,53.23,$1.05,50.7
2022-09-30,45.99,$2.02,22.77
2022-06-30,47.01,$1.77,26.56
2022-03-31,40.16,$1.99,20.18
2021-12-31,48.06,$2.29,20.99
2021-09-30,55.9,$1.54,36.3
2021-06-30,63.61,$2.40,26.5
2021-03-31,56.75,$2.32,24.46
2020-12-31,54.6,$1.95,28.0
2020-09-30,50.54,$1.83,27.62
2020-06-30,45.88,$1.31,35.03
2020-03-31,40.69,$1.43,28.46
2019-12-31,45.71,$1.84,24.84
2019-09-30,43.13,$1.80,23.96
2019-06-30,43.74,$1.73,25.28
2019-03-31,42.38,$1.63,26.0
2018-12-31,31.55,$1.78,17.73
2018-09-30,32.93,$1.36,24.21
2018-06-30,35.97,$1.38,26.07
2018-03-31,38.71,$1.29,30.01
2017-12-31,37.25,$1.01,36.88
2017-09-30,37.11,$1.24,29.93
