Honest PE Ratio Historical Data,Honest PE Ratio Historical Data,Honest PE Ratio Historical Data,Honest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.02,,0.0
2024-12-31,6.93,$-0.06,0.0
2024-09-30,3.57,$-0.04,0.0
2024-06-30,2.92,$-0.13,0.0
2024-03-31,4.05,$-0.23,0.0
2023-12-31,3.3,$-0.42,0.0
2023-09-30,1.26,$-0.57,0.0
2023-06-30,1.68,$-0.61,0.0
2023-03-31,1.8,$-0.58,0.0
2022-12-31,3.01,$-0.54,0.0
2022-09-30,3.5,$-0.50,0.0
2022-06-30,2.92,$-0.43,0.0
2022-03-31,5.21,$-0.49,0.0
