Ikena Oncology PE Ratio Historical Data,Ikena Oncology PE Ratio Historical Data,Ikena Oncology PE Ratio Historical Data,Ikena Oncology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-12-31,1.64,$-1.01,0.0
2024-09-30,1.73,$-1.23,0.0
2024-06-30,1.65,$-1.42,0.0
2024-03-31,1.42,$-1.58,0.0
2023-12-31,1.97,$-1.64,0.0
2023-09-30,4.33,$-1.62,0.0
2023-06-30,6.56,$-1.70,0.0
2023-03-31,3.45,$-1.83,0.0
2022-12-31,2.66,$-1.91,0.0
2022-09-30,3.55,$-1.45,0.0
2022-06-30,4.43,$-1.37,0.0
2022-03-31,6.1,$-1.15,0.0
2021-12-31,12.54,$-3.20,0.0
