Upstart Holdings PE Ratio Historical Data,Upstart Holdings PE Ratio Historical Data,Upstart Holdings PE Ratio Historical Data,Upstart Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.7,,0.0
2024-12-31,61.57,$-1.46,0.0
2024-09-30,40.01,$-1.93,0.0
2024-06-30,23.59,$-2.34,0.0
2024-03-31,26.89,$-2.06,0.0
2023-12-31,40.86,$-2.90,0.0
2023-09-30,28.54,$-3.07,0.0
2023-06-30,35.81,$-3.28,0.0
2023-03-31,15.89,$-3.30,0.0
2022-12-31,13.22,$-1.38,0.0
2022-09-30,20.79,$-0.10,0.0
2022-06-30,31.62,$0.89,35.53
2022-03-31,109.09,$1.64,66.52
2021-12-31,151.3,$1.41,107.3
2021-09-30,316.44,$0.80,395.55
