Strategic Education PE Ratio Historical Data,Strategic Education PE Ratio Historical Data,Strategic Education PE Ratio Historical Data,Strategic Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.03,,17.57
2024-12-31,93.42,$4.67,20.0
2024-09-30,91.99,$5.25,17.52
2024-06-30,109.28,$4.87,22.44
2024-03-31,102.3,$4.22,24.24
2023-12-31,90.23,$2.90,31.11
2023-09-30,73.02,$2.04,35.79
2023-06-30,65.33,$1.52,42.98
2023-03-31,85.84,$1.56,55.03
2022-12-31,74.31,$1.94,38.31
2022-09-30,57.84,$2.07,27.94
2022-06-30,65.85,$1.98,33.26
2022-03-31,61.36,$2.18,28.15
2021-12-31,52.93,$2.29,23.11
2021-09-30,63.85,$1.64,38.93
2021-06-30,68.35,$1.95,35.05
2021-03-31,81.94,$2.67,30.69
2020-12-31,84.36,$3.87,21.8
2020-09-30,80.42,$4.91,16.38
2020-06-30,134.26,$5.19,25.87
2020-03-31,121.69,$4.74,25.67
2019-12-31,137.81,$3.66,37.65
2019-09-30,117.33,$3.39,34.61
2019-06-30,153.25,$-0.33,0.0
2019-03-31,112.74,$-0.97,0.0
2018-12-31,97.02,$-0.65,0.0
2018-09-30,116.78,$-2.28,0.0
2018-06-30,95.96,$1.25,76.77
2018-03-31,85.61,$1.71,50.06
2017-12-31,75.71,$1.82,41.6
2017-09-30,73.57,$3.50,21.02
2017-06-30,78.34,$3.21,24.4
2017-03-31,67.45,$3.01,22.41
2016-12-31,67.35,$3.21,20.98
2016-09-30,38.99,$3.35,11.64
2016-06-30,41.04,$3.43,11.97
2016-03-31,40.72,$3.82,10.66
2015-12-31,50.22,$3.73,13.46
2015-09-30,45.92,$3.73,12.31
2015-06-30,36.0,$3.84,9.38
2015-03-31,44.62,$4.02,11.1
2014-12-31,62.05,$4.36,14.23
2014-09-30,50.02,$1.35,37.05
2014-06-30,43.86,$1.19,36.86
2014-03-31,38.79,$1.32,29.38
2013-12-31,28.79,$1.51,19.07
2013-09-30,34.68,$4.78,7.26
2013-06-30,40.79,$4.84,8.43
2013-03-31,40.41,$5.27,7.67
2012-12-31,46.92,$5.77,8.13
2012-09-30,52.64,$6.60,7.98
2012-06-30,87.88,$7.44,11.81
2012-03-31,75.13,$8.12,9.25
2011-12-31,76.72,$8.83,8.69
2011-09-30,59.87,$9.26,6.47
2011-06-30,97.62,$9.78,9.98
2011-03-31,99.97,$9.85,10.15
2010-12-31,115.77,$9.70,11.93
2010-09-30,131.78,$9.29,14.19
2010-06-30,156.28,$8.78,17.8
2010-03-31,182.49,$8.18,22.31
2009-12-31,158.71,$7.61,20.86
