W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,63.59,,14.57
2024-12-31,58.52,$4.36,13.41
2024-09-30,56.18,$3.90,14.39
2024-06-30,51.59,$3.81,13.53
2024-03-31,57.62,$3.76,15.32
2023-12-31,46.01,$3.37,13.64
2023-09-30,40.95,$3.31,12.38
2023-06-30,38.06,$3.03,12.55
2023-03-31,39.71,$2.59,15.31
2022-12-31,45.9,$3.30,13.91
2022-09-30,40.79,$3.09,13.19
2022-06-30,43.05,$3.17,13.58
2022-03-31,41.63,$3.31,12.59
2021-12-31,34.29,$2.44,14.05
2021-09-30,30.02,$2.48,12.13
2021-06-30,30.48,$2.21,13.77
2021-03-31,30.6,$1.82,16.83
2020-12-31,26.93,$1.26,21.33
2020-09-30,24.74,$0.80,31.1
2020-06-30,23.14,$0.81,28.45
2020-03-31,21.03,$1.14,18.41
2019-12-31,27.8,$1.57,17.72
2019-09-30,28.7,$1.60,17.95
2019-06-30,26.15,$1.59,16.41
2019-03-31,22.2,$1.51,14.69
2018-12-31,19.33,$1.48,13.07
2018-09-30,20.73,$1.53,13.53
2018-06-30,18.63,$1.53,12.16
2018-03-31,18.66,$1.37,13.63
2017-12-31,18.36,$1.27,14.48
2017-09-30,16.94,$1.27,13.39
2017-06-30,17.52,$1.40,12.5
2017-03-31,17.73,$1.40,12.65
2016-12-31,16.66,$1.39,11.96
2016-09-30,14.31,$1.29,11.1
2016-06-30,14.69,$1.13,13.01
2016-03-31,13.74,$1.16,11.86
2015-12-31,13.36,$1.15,11.65
2015-09-30,13.24,$1.14,11.6
2015-06-30,12.61,$1.21,10.41
2015-03-31,12.24,$1.33,9.2
2014-12-31,12.39,$1.44,8.63
2014-09-30,11.31,$1.47,7.71
2014-06-30,10.93,$1.33,8.2
2014-03-31,9.8,$1.18,8.33
2013-12-31,10.19,$1.05,9.69
2013-09-30,10.04,$1.12,8.94
2013-06-30,9.55,$1.05,9.13
2013-03-31,10.35,$1.03,10.06
2012-12-31,8.78,$1.06,8.28
2012-09-30,8.49,$0.96,8.87
2012-06-30,8.79,$0.91,9.7
2012-03-31,8.14,$0.85,9.61
2011-12-31,7.73,$0.80,9.63
2011-09-30,6.66,$0.81,8.2
2011-06-30,7.26,$0.83,8.72
2011-03-31,7.19,$0.87,8.22
2010-12-31,6.1,$0.86,7.09
2010-09-30,6.01,$0.85,7.09
2010-06-30,5.86,$0.84,6.96
2010-03-31,5.76,$0.81,7.13
2009-12-31,5.43,$0.55,9.85
