KVH Industries PE Ratio Historical Data,KVH Industries PE Ratio Historical Data,KVH Industries PE Ratio Historical Data,KVH Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.4,,0.0
2024-12-31,5.7,$-0.34,0.0
2024-09-30,4.83,$-0.97,0.0
2024-06-30,4.65,$-1.13,0.0
2024-03-31,5.1,$-0.96,0.0
2023-12-31,5.26,$-0.80,0.0
2023-09-30,5.1,$-0.14,0.0
2023-06-30,9.14,$1.66,5.51
2023-03-31,11.38,$1.53,7.44
2022-12-31,10.22,$1.28,7.98
2022-09-30,9.22,$1.03,8.95
2022-06-30,8.7,$-0.33,0.0
2022-03-31,9.1,$-0.56,0.0
2021-12-31,9.19,$-0.53,0.0
2021-09-30,9.63,$-0.96,0.0
2021-06-30,12.3,$-1.21,0.0
2021-03-31,12.68,$-1.10,0.0
2020-12-31,11.35,$-1.23,0.0
2020-09-30,9.01,$-0.78,0.0
2020-06-30,8.93,$-1.00,0.0
2020-03-31,9.43,$1.90,4.96
2019-12-31,11.13,$1.89,5.89
2019-09-30,10.65,$1.98,5.38
2019-06-30,10.87,$2.16,5.03
2019-03-31,10.19,$-0.62,0.0
2018-12-31,10.29,$-0.49,0.0
2018-09-30,13.1,$-0.48,0.0
2018-06-30,13.4,$-0.56,0.0
2018-03-31,10.35,$-0.60,0.0
2017-12-31,10.35,$-0.67,0.0
2017-09-30,11.95,$-1.00,0.0
2017-06-30,9.5,$-0.67,0.0
2017-03-31,8.4,$-0.60,0.0
2016-12-31,11.8,$-0.48,0.0
2016-09-30,8.81,$0.21,41.95
2016-06-30,7.7,$0.00,0.0
2016-03-31,9.55,$0.05,191.0
2015-12-31,9.42,$0.14,67.29
2015-09-30,10.0,$-0.06,0.0
2015-06-30,13.45,$-0.02,0.0
2015-03-31,15.12,$-0.02,0.0
2014-12-31,12.65,$-0.00,0.0
2014-09-30,11.32,$-0.08,0.0
2014-06-30,13.03,$-0.00,0.0
2014-03-31,13.16,$0.10,131.6
2013-12-31,13.03,$0.30,43.43
2013-09-30,13.8,$0.50,27.6
2013-06-30,13.31,$0.53,25.11
2013-03-31,13.57,$0.46,29.5
2012-12-31,13.98,$0.24,58.25
2012-09-30,13.49,$0.17,79.35
2012-06-30,12.5,$0.09,138.89
2012-03-31,10.5,$0.07,150.0
2011-12-31,7.78,$0.06,129.67
2011-09-30,7.91,$-0.03,0.0
2011-06-30,10.63,$-0.03,0.0
2011-03-31,15.12,$0.32,47.25
2010-12-31,11.95,$0.56,21.34
2010-09-30,15.01,$0.67,22.4
2010-06-30,12.42,$0.66,18.82
2010-03-31,13.19,$0.31,42.55
2009-12-31,14.74,$-0.01,0.0
