Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,234.79,,21.17
2024-12-31,228.04,$11.09,20.56
2024-09-30,245.07,$10.89,22.5
2024-06-30,223.8,$10.65,21.01
2024-03-31,243.25,$10.48,23.21
2023-12-31,241.71,$10.46,23.11
2023-09-30,199.27,$10.42,19.12
2023-06-30,199.08,$10.96,18.16
2023-03-31,194.51,$11.32,17.18
2022-12-31,198.9,$11.22,17.73
2022-09-30,185.99,$11.21,16.59
2022-06-30,202.44,$10.73,18.87
2022-03-31,257.82,$10.52,24.51
2021-12-31,236.6,$9.95,23.78
2021-09-30,183.19,$9.34,19.61
2021-06-30,204.55,$8.78,23.3
2021-03-31,204.02,$7.73,26.39
2020-12-31,191.85,$7.88,24.35
2020-09-30,180.54,$7.85,23.0
2020-06-30,154.28,$8.06,19.14
2020-03-31,127.97,$8.61,14.86
2019-12-31,163.05,$8.39,19.43
2019-09-30,145.29,$8.49,17.11
2019-06-30,150.78,$8.42,17.91
2019-03-31,148.31,$8.18,18.13
2018-12-31,121.98,$7.93,15.38
2018-09-30,143.68,$15.06,9.54
2018-06-30,124.36,$14.41,8.63
2018-03-31,117.41,$13.88,8.46
2017-12-31,116.48,$13.52,8.62
2017-09-30,100.19,$5.66,17.7
2017-06-30,93.55,$5.52,16.95
2017-03-31,90.49,$5.24,17.27
2016-12-31,88.08,$5.08,17.34
2016-09-30,82.36,$5.00,16.47
2016-06-30,73.26,$5.14,14.25
2016-03-31,66.35,$5.35,12.4
2015-12-31,64.78,$5.49,11.8
2015-09-30,72.76,$5.79,12.57
2015-06-30,77.99,$5.82,13.4
2015-03-31,88.1,$5.87,15.01
2014-12-31,96.47,$5.76,16.75
2014-09-30,87.42,$5.43,16.11
2014-06-30,80.05,$5.14,15.59
2014-03-31,74.96,$4.89,15.33
2013-12-31,66.77,$4.72,14.16
2013-09-30,61.44,$4.54,13.55
2013-06-30,60.7,$4.39,13.83
2013-03-31,55.79,$4.26,13.11
2012-12-31,49.0,$4.14,11.85
2012-09-30,46.0,$4.04,11.4
2012-06-30,46.01,$3.87,11.91
2012-03-31,41.23,$3.61,11.42
2011-12-31,40.43,$3.36,12.03
2011-09-30,30.98,$3.15,9.85
2011-06-30,39.39,$3.00,13.13
2011-03-31,36.93,$2.91,12.71
2010-12-31,34.66,$2.77,12.54
2010-09-30,30.47,$2.53,12.07
2010-06-30,25.78,$2.26,11.43
2010-03-31,27.05,$2.02,13.43
2009-12-31,23.49,$1.87,12.56
