Stoke Therapeutics PE Ratio Historical Data,Stoke Therapeutics PE Ratio Historical Data,Stoke Therapeutics PE Ratio Historical Data,Stoke Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.33,,0.0
2024-12-31,11.03,$-1.50,0.0
2024-09-30,12.29,$-2.10,0.0
2024-06-30,13.51,$-2.18,0.0
2024-03-31,13.5,$-2.41,0.0
2023-12-31,5.26,$-2.37,0.0
2023-09-30,3.94,$-2.42,0.0
2023-06-30,10.63,$-2.53,0.0
2023-03-31,8.33,$-2.47,0.0
2022-12-31,9.23,$-2.60,0.0
2022-09-30,12.84,$-2.61,0.0
2022-06-30,13.21,$-2.56,0.0
2022-03-31,21.05,$-2.53,0.0
2021-12-31,23.99,$-2.33,0.0
2021-09-30,25.44,$-2.09,0.0
2021-06-30,33.66,$-1.89,0.0
2021-03-31,38.84,$-1.68,0.0
2020-12-31,61.93,$-1.56,0.0
2020-09-30,33.49,$-1.14,0.0
2020-06-30,23.83,$-0.99,0.0
2020-03-31,22.9,$-2.14,0.0
