Immunic PE Ratio Historical Data,Immunic PE Ratio Historical Data,Immunic PE Ratio Historical Data,Immunic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.14,,0.0
2024-09-30,1.65,$-1.23,0.0
2024-06-30,1.11,$-1.50,0.0
2024-03-31,1.32,$-1.83,0.0
2023-12-31,1.5,$-2.11,0.0
2023-09-30,1.47,$-3.26,0.0
2023-06-30,2.51,$-3.44,0.0
2023-03-31,1.49,$-3.62,0.0
2022-12-31,1.4,$-3.78,0.0
2022-09-30,3.16,$-2.96,0.0
2022-06-30,3.47,$-3.03,0.0
2022-03-31,11.3,$-3.13,0.0
2021-12-31,9.57,$-4.02,0.0
2021-09-30,8.85,$-3.67,0.0
2021-06-30,12.26,$-3.61,0.0
2021-03-31,15.94,$-3.69,0.0
2020-12-31,15.29,$-2.85,0.0
2020-09-30,18.57,$-2.95,0.0
2020-06-30,12.12,$-3.07,0.0
2020-03-31,6.05,$-3.69,0.0
2019-12-31,9.7,$-11.70,0.0
2019-09-30,10.0,$-13.54,0.0
2019-06-30,11.47,$-23.92,0.0
2019-03-31,7.88,$-34.40,0.0
2018-12-31,7.45,$-39.20,0.0
2018-09-30,11.02,$-50.80,0.0
2018-06-30,274.0,$-51.60,0.0
2018-03-31,272.0,$-51.20,0.0
2017-12-31,238.0,$-53.20,0.0
2017-09-30,202.0,$-54.00,0.0
2017-06-30,116.0,$-54.80,0.0
2017-03-31,160.0,$-55.20,0.0
2016-12-31,174.0,$-52.00,0.0
2016-09-30,244.8,$-50.80,0.0
2016-06-30,248.0,$-58.40,0.0
2016-03-31,362.8,$-71.60,0.0
2015-12-31,460.8,$-84.00,0.0
2015-09-30,161.6,$-94.00,0.0
2015-06-30,844.0,$-97.20,0.0
2015-03-31,1000.4,$-108.40,0.0
