MidWestOne Financial PE Ratio Historical Data,MidWestOne Financial PE Ratio Historical Data,MidWestOne Financial PE Ratio Historical Data,MidWestOne Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.6,,0.0
2024-12-31,29.12,$-4.84,0.0
2024-09-30,28.32,$-4.67,0.0
2024-06-30,22.14,$1.96,11.3
2024-03-31,22.81,$1.44,15.84
2023-12-31,25.92,$1.32,19.63
2023-09-30,19.36,$2.17,8.92
2023-06-30,20.12,$2.76,7.29
2023-03-31,22.7,$3.08,7.37
2022-12-31,29.28,$3.87,7.56
2022-09-30,24.99,$3.76,6.65
2022-06-30,27.01,$3.62,7.46
2022-03-31,29.85,$3.90,7.65
2021-12-31,28.96,$4.37,6.63
2021-09-30,26.79,$4.50,5.95
2021-06-30,25.36,$2.24,11.32
2021-03-31,27.11,$1.89,14.34
2020-12-31,21.27,$0.42,50.64
2020-09-30,15.37,$0.21,73.18
2020-06-30,17.0,$2.20,7.73
2020-03-31,17.6,$2.19,8.04
2019-12-31,30.22,$2.91,10.38
2019-09-30,25.31,$2.70,9.37
2019-06-30,23.02,$2.49,9.25
2019-03-31,22.28,$2.44,9.13
2018-12-31,20.17,$2.48,8.13
2018-09-30,27.06,$1.73,15.64
2018-06-30,27.28,$1.70,16.05
2018-03-31,26.73,$1.62,16.5
2017-12-31,26.76,$1.56,17.15
2017-09-30,26.81,$2.03,13.21
2017-06-30,26.78,$2.05,13.06
2017-03-31,26.96,$1.88,14.34
2016-12-31,29.44,$1.78,16.54
2016-09-30,23.66,$2.16,10.96
2016-06-30,22.13,$2.29,9.67
2016-03-31,21.16,$2.29,9.24
2015-12-31,23.3,$2.38,9.79
2015-09-30,22.31,$2.12,10.52
2015-06-30,24.97,$2.04,12.24
2015-03-31,21.76,$2.18,9.98
2014-12-31,21.63,$2.19,9.88
2014-09-30,17.19,$2.25,7.64
2014-06-30,17.81,$2.23,7.99
2014-03-31,18.62,$2.20,8.47
2013-12-31,19.96,$2.18,9.16
2013-09-30,18.78,$2.17,8.65
2013-06-30,17.48,$2.12,8.25
2013-03-31,17.21,$2.00,8.61
2012-12-31,14.74,$1.96,7.52
2012-09-30,15.41,$1.84,8.38
2012-06-30,15.32,$1.74,8.8
2012-03-31,13.73,$1.68,8.17
2011-12-31,10.32,$1.47,7.02
2011-09-30,10.08,$1.37,7.36
2011-06-30,10.12,$1.25,8.09
2011-03-31,10.35,$1.17,8.85
2010-12-31,10.5,$1.07,9.82
2010-09-30,10.16,$0.94,10.8
2010-06-30,10.68,$0.71,15.05
2010-03-31,8.11,$0.51,15.9
2009-12-31,5.99,$0.42,14.25
