Pure Cycle PE Ratio Historical Data,Pure Cycle PE Ratio Historical Data,Pure Cycle PE Ratio Historical Data,Pure Cycle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.63,,19.33
2024-11-30,14.54,$0.55,26.44
2024-08-31,10.65,$0.48,22.19
2024-05-31,9.3,$0.25,37.2
2024-02-29,9.97,$0.27,36.93
2023-11-30,10.0,$0.28,35.71
2023-08-31,10.99,$0.20,54.95
2023-05-31,9.72,$0.39,24.92
2023-02-28,8.83,$0.28,31.54
2022-11-30,10.61,$0.34,31.21
2022-08-31,10.32,$0.39,26.46
2022-05-31,11.3,$0.24,47.08
2022-02-28,11.85,$0.24,49.38
2021-11-30,14.56,$0.89,16.36
2021-08-31,14.95,$0.87,17.18
2021-05-31,14.14,$0.82,17.24
2021-02-28,11.76,$0.79,14.89
2020-11-30,9.54,$0.08,119.25
2020-08-31,9.76,$0.28,34.86
2020-05-31,10.16,$0.34,29.88
2020-02-29,12.37,$0.39,31.72
2019-11-30,12.42,$0.38,32.68
2019-08-31,10.85,$0.17,63.82
2019-05-31,9.42,$0.09,104.67
2019-02-28,10.14,$0.04,253.5
2018-11-30,10.5,$0.04,262.5
2018-08-31,11.25,$0.01,1125.0
2018-05-31,9.35,0,0.0
2018-02-28,7.95,$-0.02,0.0
2017-11-30,6.95,$-0.03,0.0
2017-08-31,7.25,$-0.04,0.0
2017-05-31,7.8,$-0.07,0.0
2017-02-28,5.15,$-0.07,0.0
2016-11-30,4.95,$-0.07,0.0
2016-08-31,4.84,$-0.06,0.0
2016-05-31,4.49,$-0.99,0.0
2016-02-29,4.64,$-0.97,0.0
2015-11-30,5.07,$-0.96,0.0
2015-08-31,5.0,$-0.96,0.0
2015-05-31,5.24,$0.06,87.33
2015-02-28,4.61,$0.04,115.25
2014-11-30,5.28,$0.02,264.0
2014-08-31,6.52,$-0.02,0.0
2014-05-31,5.72,$-0.12,0.0
2014-02-28,6.26,$-0.14,0.0
2013-11-30,7.06,$-0.14,0.0
2013-08-31,5.2,$-0.16,0.0
2013-05-31,6.62,$-0.67,0.0
2013-02-28,4.01,$-0.69,0.0
2012-11-30,2.53,$-0.73,0.0
2012-08-31,2.0,$-0.73,0.0
2012-05-31,2.21,$-0.24,0.0
2012-02-29,2.06,$-0.18,0.0
2011-11-30,1.88,$-0.20,0.0
2011-08-31,2.96,$-0.21,0.0
2011-05-31,3.42,$-0.22,0.0
2011-02-28,4.02,$-0.29,0.0
2010-11-30,3.49,$-0.28,0.0
2010-08-31,3.01,$-0.27,0.0
2010-05-31,2.78,$-0.41,0.0
2010-02-28,2.46,$-0.41,0.0
2009-11-30,2.51,$-0.41,0.0
