Serina Therapeutics PE Ratio Historical Data,Serina Therapeutics PE Ratio Historical Data,Serina Therapeutics PE Ratio Historical Data,Serina Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.54,,0.0
2024-09-30,6.69,$-2.74,0.0
2024-06-30,9.58,$-7.80,0.0
2024-03-31,13.46,$-10.77,0.0
2023-12-31,0.39,$-10.56,0.0
2023-09-30,0.68,$-13.03,0.0
2023-06-30,0.89,$-10.21,0.0
2023-03-31,0.66,$-10.21,0.0
2022-12-31,0.55,$-9.51,0.0
2022-09-30,0.56,$-7.04,0.0
2022-06-30,0.58,$-6.69,0.0
2022-03-31,0.85,$-6.69,0.0
2021-12-31,1.09,$-6.34,0.0
2021-09-30,0.94,$-8.80,0.0
2021-06-30,1.55,$-9.51,0.0
2021-03-31,1.62,$-9.51,0.0
2020-12-31,1.52,$-10.21,0.0
2020-09-30,0.81,$-10.56,0.0
2020-06-30,0.95,$-11.27,0.0
2020-03-31,0.93,$-11.62,0.0
2019-12-31,1.82,$-11.97,0.0
2019-09-30,1.96,$-12.32,0.0
