Hawkins PE Ratio Historical Data,Hawkins PE Ratio Historical Data,Hawkins PE Ratio Historical Data,Hawkins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.01,,26.79
2024-12-31,122.67,$3.92,31.29
2024-09-30,127.28,$3.91,32.55
2024-06-30,90.73,$3.85,23.57
2024-03-31,76.43,$3.59,21.29
2023-12-31,69.92,$3.48,20.09
2023-09-30,58.29,$3.28,17.77
2023-06-30,47.1,$3.04,15.49
2023-03-31,43.1,$2.86,15.07
2022-12-31,37.86,$2.81,13.47
2022-09-30,38.12,$2.78,13.71
2022-06-30,35.11,$2.59,13.56
2022-03-31,44.56,$2.44,18.26
2021-12-31,38.18,$2.37,16.11
2021-09-30,33.64,$2.27,14.85
2021-06-30,31.47,$2.17,14.5
2021-03-31,32.1,$1.94,16.59
2020-12-31,24.95,$1.73,14.42
2020-09-30,21.89,$1.57,13.94
2020-06-30,20.13,$1.43,14.08
2020-03-31,16.74,$1.34,12.54
2019-12-31,21.43,$1.29,16.67
2019-09-30,19.77,$1.27,15.63
2019-06-30,20.09,$1.18,17.1
2019-03-31,16.94,$1.14,14.86
2018-12-31,18.74,$-0.79,0.0
2018-09-30,18.86,$-0.18,0.0
2018-06-30,15.99,$-0.28,0.0
2018-03-31,15.9,$-0.43,0.0
2017-12-31,15.71,$1.53,10.3
2017-09-30,18.21,$0.89,20.46
2017-06-30,20.45,$0.99,20.76
2017-03-31,21.62,$1.07,20.21
2016-12-31,23.6,$1.10,21.45
2016-09-30,18.95,$0.97,19.54
2016-06-30,18.8,$0.90,20.89
2016-03-31,15.63,$0.86,18.17
2015-12-31,15.32,$0.82,18.79
2015-09-30,16.49,$0.93,17.82
2015-06-30,17.12,$0.95,18.11
2015-03-31,16.1,$0.91,17.69
2014-12-31,18.18,$0.93,19.66
2014-09-30,15.09,$0.94,16.05
2014-06-30,15.42,$0.90,17.23
2014-03-31,15.26,$0.85,17.95
2013-12-31,15.29,$0.85,18.09
2013-09-30,15.51,$0.75,20.82
2013-06-30,16.04,$0.85,18.98
2013-03-31,16.27,$0.82,19.96
2012-12-31,15.6,$0.79,19.75
2012-09-30,16.77,$0.99,16.94
2012-06-30,15.29,$0.98,15.6
2012-03-31,14.89,$1.10,13.6
2011-12-31,14.63,$1.02,14.41
2011-09-30,12.64,$0.96,13.23
2011-06-30,14.23,$0.95,14.98
2011-03-31,16.14,$0.98,16.47
2010-12-31,17.32,$1.16,14.93
2010-09-30,13.82,$1.23,11.28
2010-06-30,9.29,$1.22,7.62
2010-03-31,9.34,$1.16,8.05
2009-12-31,8.32,$1.14,7.3
