Jasper Therapeutics PE Ratio Historical Data,Jasper Therapeutics PE Ratio Historical Data,Jasper Therapeutics PE Ratio Historical Data,Jasper Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.31,,0.0
2024-12-31,21.38,$-4.86,0.0
2024-09-30,18.81,$-4.74,0.0
2024-06-30,22.7,$-5.10,0.0
2024-03-31,29.36,$-5.63,0.0
2023-12-31,0.79,$-6.20,0.0
2023-09-30,0.7,$-8.30,0.0
2023-06-30,1.37,$-9.90,0.0
2023-03-31,1.81,$-11.30,0.0
2022-12-31,0.48,$-10.30,0.0
2022-09-30,0.79,$-6.70,0.0
2022-06-30,1.93,$-10.40,0.0
2022-03-31,3.55,$-7.50,0.0
2021-12-31,7.85,$-6.90,0.0
2021-09-30,10.26,$-6.90,0.0
2021-06-30,9.94,0,0.0
2021-03-31,9.9,0,0.0
2020-12-31,10.01,0,0.0
