Sterling Bancorp PE Ratio Historical Data,Sterling Bancorp PE Ratio Historical Data,Sterling Bancorp PE Ratio Historical Data,Sterling Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.87,,162.33
2024-12-31,4.76,$0.03,158.67
2024-09-30,4.55,$0.13,35.0
2024-06-30,5.23,$0.14,37.36
2024-03-31,5.16,$0.16,32.25
2023-12-31,5.77,$0.15,38.47
2023-09-30,5.84,$0.05,116.8
2023-06-30,5.47,$0.06,91.17
2023-03-31,5.66,$-0.03,0.0
2022-12-31,6.09,$0.08,76.13
2022-09-30,6.03,$0.18,33.5
2022-06-30,5.7,$0.35,16.29
2022-03-31,7.1,$0.44,16.14
2021-12-31,5.75,$0.39,14.74
2021-09-30,5.16,$0.06,86.0
2021-06-30,4.55,$-0.13,0.0
2021-03-31,5.66,$-0.12,0.0
2020-12-31,4.54,$-0.17,0.0
2020-09-30,3.01,$0.34,8.85
2020-06-30,3.58,$0.62,5.77
2020-03-31,4.3,$0.82,5.24
2019-12-31,8.09,$1.12,7.22
2019-09-30,9.74,$1.14,8.54
2019-06-30,9.94,$1.16,8.57
2019-03-31,10.09,$1.20,8.41
2018-12-31,6.91,$1.20,5.76
2018-09-30,11.24,$1.03,10.91
