Bright Minds Biosciences PE Ratio Historical Data,Bright Minds Biosciences PE Ratio Historical Data,Bright Minds Biosciences PE Ratio Historical Data,Bright Minds Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.88,,0.0
2024-12-31,36.02,$-0.17,0.0
2024-09-30,1.17,$-0.50,0.0
2024-06-30,1.08,$-0.68,0.0
2024-03-31,1.2,$-1.01,0.0
2023-12-31,1.43,$-1.31,0.0
2023-09-30,1.6,$-1.49,0.0
2023-06-30,0.57,$-1.94,0.0
2023-03-31,0.44,$-2.50,0.0
2022-12-31,0.74,$-3.60,0.0
2022-09-30,1.23,$-4.75,0.0
