Avnet PE Ratio Historical Data,Avnet PE Ratio Historical Data,Avnet PE Ratio Historical Data,Avnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,48.15,,13.64
2024-12-31,52.32,$3.53,14.82
2024-09-30,53.99,$3.82,14.13
2024-06-30,50.85,$5.41,9.4
2024-03-31,48.69,$6.18,7.88
2023-12-31,49.17,$7.24,6.79
2023-09-30,46.7,$8.59,5.44
2023-06-30,48.58,$8.27,5.87
2023-03-31,43.24,$9.10,4.75
2022-12-31,39.52,$8.91,4.44
2022-09-30,34.1,$7.78,4.38
2022-06-30,40.2,$6.95,5.78
2022-03-31,37.85,$5.29,7.16
2021-12-31,38.21,$4.52,8.45
2021-09-30,34.03,$3.21,10.6
2021-06-30,36.67,$1.92,19.1
2021-03-31,37.79,$1.60,23.62
2020-12-31,31.79,$-0.76,0.0
2020-09-30,23.24,$-0.91,0.0
2020-06-30,24.89,$-0.32,0.0
2020-03-31,22.23,$-1.15,0.0
2019-12-31,37.34,$0.95,39.31
2019-09-30,38.93,$1.24,31.4
2019-06-30,39.43,$1.56,25.28
2019-03-31,37.6,$2.36,15.93
2018-12-31,31.15,$-1.13,0.0
2018-09-30,38.45,$-1.07,0.0
2018-06-30,36.69,$-1.32,0.0
2018-03-31,35.55,$-1.17,0.0
2017-12-31,33.58,$3.61,9.3
2017-09-30,33.16,$4.01,8.27
2017-06-30,32.65,$4.07,8.02
2017-03-31,38.25,$4.17,9.17
2016-12-31,39.63,$3.01,13.17
2016-09-30,34.05,$3.38,10.08
2016-06-30,33.46,$3.81,8.78
2016-03-31,36.44,$4.21,8.66
2015-12-31,35.1,$4.15,8.46
2015-09-30,34.84,$4.17,8.35
2015-06-30,33.42,$4.12,8.11
2015-03-31,36.04,$4.30,8.38
2014-12-31,34.72,$4.23,8.21
2014-09-30,33.37,$3.94,8.47
2014-06-30,35.5,$3.89,9.13
2014-03-31,37.15,$3.47,10.71
2013-12-31,35.1,$3.28,10.7
2013-09-30,33.07,$3.38,9.78
2013-06-30,26.54,$3.22,8.24
2013-03-31,28.59,$3.22,8.88
2012-12-31,24.18,$3.60,6.72
2012-09-30,22.97,$3.59,6.4
2012-06-30,24.37,$3.79,6.43
2012-03-31,28.74,$4.42,6.5
2011-12-31,24.55,$4.40,5.58
2011-09-30,20.6,$4.33,4.76
2011-06-30,25.18,$4.33,5.81
2011-03-31,26.92,$3.71,7.26
2010-12-31,26.09,$3.48,7.5
2010-09-30,21.33,$3.25,6.56
2010-06-30,19.04,$2.68,7.11
2010-03-31,23.69,$1.56,15.19
2009-12-31,23.82,$0.93,25.61
