Draganfly PE Ratio Historical Data,Draganfly PE Ratio Historical Data,Draganfly PE Ratio Historical Data,Draganfly PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.13,,0.0
2024-09-30,2.55,$-4.04,0.0
2024-06-30,0.23,$-6.50,0.0
2024-03-31,0.19,$-7.75,0.0
2023-12-31,0.48,$-11.00,0.0
2023-09-30,0.77,$-18.25,0.0
2023-06-30,1.28,$-18.75,0.0
2023-03-31,1.28,$-15.50,0.0
2022-12-31,0.75,$-15.50,0.0
2022-09-30,0.7,$8.25,0.08
