Nexxen PE Ratio Historical Data,Nexxen PE Ratio Historical Data,Nexxen PE Ratio Historical Data,Nexxen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.19,,18.44
2024-12-31,10.02,$0.39,25.69
2024-09-30,8.04,$0.04,201.0
2024-06-30,5.62,$-0.07,0.0
2024-03-31,5.22,$-0.13,0.0
2023-12-31,5.06,$-0.15,0.0
2023-09-30,3.53,$-0.14,0.0
2023-06-30,7.2,$-0.14,0.0
2023-03-31,5.25,$-0.05,0.0
2022-12-31,6.45,$0.14,46.07
2022-09-30,6.93,$0.26,26.65
2022-06-30,8.68,$0.34,25.53
2022-03-31,15.21,$0.46,33.07
