Brookfield Asset Management PE Ratio Historical Data,Brookfield Asset Management PE Ratio Historical Data,Brookfield Asset Management PE Ratio Historical Data,Brookfield Asset Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.35,,43.67
2024-09-30,47.23,$1.13,41.79
2024-06-30,38.0,$1.10,34.54
2024-03-31,41.96,$1.08,38.85
2023-12-31,40.12,$1.13,35.5
2023-09-30,33.23,$0.90,36.92
