Signet Jewelers PE Ratio Historical Data,Signet Jewelers PE Ratio Historical Data,Signet Jewelers PE Ratio Historical Data,Signet Jewelers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.3,,0.0
2025-01-31,59.23,$-3.06,0.0
2024-10-31,91.68,$8.69,10.55
2024-07-31,83.87,$8.64,9.71
2024-04-30,97.38,$12.30,7.92
2024-01-31,98.54,$14.99,6.57
2023-10-31,69.01,$8.26,8.35
2023-07-31,79.28,$8.79,9.02
2023-04-30,72.25,$9.99,7.23
2023-01-31,75.19,$6.31,11.92
2022-10-31,63.7,$6.20,10.27
2022-07-31,59.34,$7.05,8.42
2022-04-30,68.11,$8.07,8.44
2022-01-31,83.34,$12.19,6.84
2021-10-31,86.1,$11.40,7.55
2021-07-31,61.99,$9.97,6.22
2021-04-30,57.41,$4.64,12.37
2021-01-31,39.03,$-1.42,0.0
2020-10-31,21.41,$-2.40,0.0
2020-07-31,10.32,$-3.26,0.0
2020-04-30,9.67,$-2.39,0.0
2020-01-31,23.36,$1.09,21.43
2019-10-31,15.2,$-4.30,0.0
2019-07-31,16.45,$-4.20,0.0
2019-04-30,20.68,$-3.90,0.0
2019-01-31,21.73,$-12.03,0.0
2018-10-31,48.94,$-4.54,0.0
2018-07-31,50.1,$-4.00,0.0
2018-04-30,33.4,$-2.11,0.0
2018-01-31,45.18,$7.40,6.11
2017-10-31,56.0,$6.08,9.21
2017-07-31,51.99,$6.48,8.02
2017-04-30,55.69,$6.21,8.97
2017-01-31,65.39,$7.05,9.28
2016-10-31,68.2,$6.55,10.41
2016-07-31,73.55,$6.54,11.25
2016-04-30,90.55,$6.26,14.47
2016-01-31,96.54,$5.87,16.45
2015-10-31,125.37,$5.29,23.7
2015-07-31,100.54,$5.08,19.79
2015-04-30,111.04,$5.02,22.12
2015-01-31,100.1,$4.74,21.12
2014-10-31,99.05,$4.08,24.28
2014-07-31,83.88,$4.52,18.56
2014-04-30,83.35,$4.64,17.96
2014-01-31,65.33,$4.57,14.29
2013-10-31,61.19,$4.51,13.57
2013-07-31,59.8,$4.52,13.23
2013-04-30,55.98,$4.53,12.36
2013-01-31,50.97,$4.36,11.69
2012-10-31,42.08,$4.03,10.44
2012-07-31,35.62,$3.90,9.13
2012-04-30,39.44,$3.81,10.35
2012-01-31,36.77,$3.72,9.88
2011-10-31,34.7,$3.14,11.05
2011-07-31,34.41,$2.91,11.82
2011-04-30,35.14,$2.62,13.41
2011-01-31,34.12,$2.35,14.52
2010-10-31,28.25,$2.48,11.39
2010-07-31,23.91,$2.33,10.26
2010-04-30,25.72,$2.18,11.8
2010-01-31,21.97,$1.89,11.63
2009-10-31,20.25,$-4.43,0.0
