Safe Bulkers PE Ratio Historical Data,Safe Bulkers PE Ratio Historical Data,Safe Bulkers PE Ratio Historical Data,Safe Bulkers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.82,,4.6
2024-12-31,3.57,$0.83,4.3
2024-09-30,5.11,$0.90,5.68
2024-06-30,5.69,$0.80,7.11
2024-03-31,4.8,$0.68,7.06
2023-12-31,3.77,$0.62,6.07
2023-09-30,3.06,$0.67,4.57
2023-06-30,3.03,$0.96,3.16
2023-03-31,3.38,$1.24,2.73
2022-12-31,2.63,$1.37,1.92
2022-09-30,2.2,$1.60,1.37
2022-06-30,3.35,$1.19,2.82
2022-03-31,4.14,$1.06,3.9
2021-12-31,3.24,$0.96,3.38
2021-09-30,4.44,$0.49,9.07
2021-06-30,3.45,$0.49,7.04
2021-03-31,2.11,$0.06,35.11
2020-12-31,1.12,$-0.24,0.0
2020-09-30,0.89,$-0.27,0.0
2020-06-30,1.05,$-0.25,0.0
2020-03-31,1.02,$-0.10,0.0
2019-12-31,1.46,$0.05,29.23
2019-09-30,1.5,$0.11,13.68
2019-06-30,1.34,$0.14,9.58
2019-03-31,1.26,$0.16,7.85
2018-12-31,1.53,$0.16,9.56
2018-09-30,2.48,$-0.79,0.0
2018-06-30,2.92,$-0.80,0.0
2018-03-31,2.73,$-0.88,0.0
2017-12-31,2.78,$-0.98,0.0
2017-09-30,2.36,$-0.19,0.0
2017-06-30,1.97,$-0.57,0.0
2017-03-31,1.89,$-0.65,0.0
2016-12-31,0.99,$-0.83,0.0
2016-09-30,1.21,$-1.14,0.0
2016-06-30,0.9,$-0.93,0.0
2016-03-31,0.69,$-0.88,0.0
2015-12-31,0.7,$-0.74,0.0
2015-09-30,2.37,$-0.38,0.0
2015-06-30,2.76,$-0.27,0.0
2015-03-31,3.07,$-0.16,0.0
2014-12-31,3.32,$0.08,41.52
2014-09-30,5.61,$0.50,11.23
2014-06-30,8.17,$0.66,12.38
2014-03-31,7.91,$0.97,8.16
2013-12-31,8.6,$1.05,8.19
2013-09-30,5.58,$1.09,5.12
2013-06-30,4.33,$1.22,3.55
2013-03-31,4.0,$1.18,3.39
2012-12-31,2.68,$1.27,2.11
2012-09-30,4.55,$1.18,3.86
2012-06-30,4.73,$1.19,3.98
2012-03-31,5.01,$1.18,4.24
2011-12-31,4.4,$1.29,3.41
2011-09-30,4.44,$1.43,3.11
2011-06-30,5.35,$1.48,3.62
2011-03-31,6.24,$1.58,3.95
2010-12-31,6.01,$1.75,3.43
2010-09-30,5.27,$1.70,3.1
2010-06-30,4.59,$1.78,2.58
2010-03-31,5.0,$2.48,2.02
2009-12-31,5.51,$3.04,1.81
