Finward Bancorp PE Ratio Historical Data,Finward Bancorp PE Ratio Historical Data,Finward Bancorp PE Ratio Historical Data,Finward Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.68,,10.66
2024-09-30,31.98,$2.69,11.89
2024-06-30,24.52,$3.06,8.01
2024-03-31,24.6,$3.60,6.83
2023-12-31,25.24,$1.94,13.01
2023-09-30,22.13,$2.52,8.78
2023-06-30,22.0,$3.08,7.14
2023-03-31,29.1,$3.54,8.22
2022-12-31,36.2,$3.56,10.17
2022-09-30,34.01,$3.58,9.5
