Atai Life Sciences PE Ratio Historical Data,Atai Life Sciences PE Ratio Historical Data,Atai Life Sciences PE Ratio Historical Data,Atai Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.37,,0.0
2024-12-31,1.33,$-0.69,0.0
2024-09-30,1.16,$-0.81,0.0
2024-06-30,1.33,$-0.40,0.0
2024-03-31,1.97,$-0.25,0.0
2023-12-31,1.41,$-0.29,0.0
2023-09-30,1.29,$-0.45,0.0
2023-06-30,1.72,$-0.92,0.0
2023-03-31,1.81,$-0.95,0.0
2022-12-31,2.66,$-0.98,0.0
2022-09-30,3.31,$-1.33,0.0
2022-06-30,3.64,$-1.32,0.0
2022-03-31,5.09,$-1.45,0.0
