JOYY PE Ratio Historical Data,JOYY PE Ratio Historical Data,JOYY PE Ratio Historical Data,JOYY PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.23,,12.46
2024-09-30,36.24,$3.31,10.95
2024-06-30,30.09,$4.12,7.3
2024-03-31,30.75,$5.31,5.79
2023-12-31,39.7,$4.97,7.99
2023-09-30,38.11,$-1.15,0.0
2023-06-30,30.56,$3.27,9.34
2023-03-31,29.97,$1.48,20.25
2022-12-31,30.37,$0.72,42.18
2022-09-30,24.62,$6.95,3.54
2022-06-30,27.74,$0.74,37.49
2022-03-31,33.13,$-0.92,0.0
2021-12-31,40.98,$-1.19,0.0
2021-09-30,48.96,$-2.09,0.0
2021-06-30,58.45,$1.66,35.21
2021-03-31,82.01,$15.22,5.39
2020-12-31,69.98,$16.53,4.23
2020-09-30,70.16,$16.85,4.16
2020-06-30,76.73,$13.19,5.82
2020-03-31,46.15,$1.10,41.95
2019-12-31,45.74,$7.04,6.5
2019-09-30,48.72,$8.30,5.87
2019-06-30,60.38,$9.60,6.29
2019-03-31,72.79,$9.24,7.88
2018-12-31,51.87,$3.76,13.79
2018-09-30,64.92,$4.00,16.23
2018-06-30,87.05,$4.12,21.13
2018-03-31,91.15,$5.91,15.42
2017-12-31,97.96,$6.16,15.9
2017-09-30,75.19,$5.79,12.99
2017-06-30,50.28,$5.24,9.6
2017-03-31,39.95,$4.67,8.56
2016-12-31,34.16,$3.90,8.76
2016-09-30,46.17,$3.46,13.34
2016-06-30,29.35,$2.86,10.26
2016-03-31,53.37,$2.78,19.2
2015-12-31,54.13,$2.83,19.13
2015-09-30,47.35,$2.81,16.85
2015-06-30,60.24,$3.16,19.06
2015-03-31,47.27,$2.94,16.08
2014-12-31,54.02,$2.81,19.22
2014-09-30,64.89,$2.40,27.04
2014-06-30,65.42,$1.97,33.21
2014-03-31,66.16,$1.63,40.59
2013-12-31,43.57,$1.32,33.0
2013-09-30,40.53,$0.89,45.54
