Sutro Biopharma PE Ratio Historical Data,Sutro Biopharma PE Ratio Historical Data,Sutro Biopharma PE Ratio Historical Data,Sutro Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-12-31,1.84,$-2.13,0.0
2024-09-30,3.46,$-1.61,0.0
2024-06-30,2.93,$-1.83,0.0
2024-03-31,5.65,$-1.88,0.0
2023-12-31,4.29,$-1.78,0.0
2023-09-30,3.47,$-2.91,0.0
2023-06-30,4.65,$-2.47,0.0
2023-03-31,4.62,$-2.38,0.0
2022-12-31,8.08,$-2.37,0.0
2022-09-30,5.55,$-2.59,0.0
2022-06-30,5.21,$-2.89,0.0
2022-03-31,8.22,$-2.47,0.0
2021-12-31,14.88,$-2.29,0.0
2021-09-30,18.89,$-2.94,0.0
2021-06-30,18.59,$-1.82,0.0
2021-03-31,22.76,$-0.75,0.0
2020-12-31,21.71,$-0.93,0.0
2020-09-30,10.05,$-0.09,0.0
2020-06-30,7.76,$-1.10,0.0
2020-03-31,10.2,$-2.64,0.0
2019-12-31,11.0,$-2.42,0.0
2019-09-30,9.09,$-1.78,0.0
2019-06-30,11.38,$-22.48,0.0
