Canterbury Park Holding PE Ratio Historical Data,Canterbury Park Holding PE Ratio Historical Data,Canterbury Park Holding PE Ratio Historical Data,Canterbury Park Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.0,,45.24
2024-12-31,20.5,$0.42,48.81
2024-09-30,19.3,$0.94,20.53
2024-06-30,21.76,$0.77,28.26
2024-03-31,23.18,$1.77,13.1
2023-12-31,20.23,$2.13,9.5
2023-09-30,19.59,$2.08,9.42
2023-06-30,22.46,$2.45,9.17
2023-03-31,24.13,$1.74,13.87
2022-12-31,30.57,$1.54,19.85
2022-09-30,21.73,$2.69,8.08
2022-06-30,25.16,$2.67,9.42
2022-03-31,21.84,$2.70,8.09
2021-12-31,16.64,$2.46,6.76
2021-09-30,15.36,$1.12,13.71
2021-06-30,14.12,$0.93,15.18
2021-03-31,13.17,$0.29,45.42
2020-12-31,11.53,$0.22,52.39
2020-09-30,11.62,$0.31,37.49
2020-06-30,10.53,$0.17,61.96
2020-03-31,10.0,$0.63,15.88
2019-12-31,11.94,$0.59,20.24
2019-09-30,11.58,$0.99,11.7
2019-06-30,11.75,$1.10,10.68
2019-03-31,13.75,$1.05,13.09
2018-12-31,13.11,$1.26,10.4
2018-09-30,14.3,$1.17,12.22
2018-06-30,13.97,$1.03,13.56
2018-03-31,14.07,$1.03,13.66
2017-12-31,15.02,$0.93,16.15
2017-09-30,11.37,$0.66,17.23
2017-06-30,10.08,$0.65,15.51
2017-03-31,9.61,$1.02,9.43
2016-12-31,9.11,$0.97,9.4
2016-09-30,9.28,$1.03,9.01
2016-06-30,9.89,$1.01,9.79
2016-03-31,9.3,$0.62,15.01
2015-12-31,9.21,$0.64,14.38
2015-09-30,8.73,$0.64,13.64
2015-06-30,9.43,$0.60,15.72
2015-03-31,9.09,$0.57,15.95
2014-12-31,8.37,$0.58,14.43
2014-09-30,9.17,$0.45,20.38
2014-06-30,9.04,$0.34,26.57
2014-03-31,10.08,$0.28,36.01
2013-12-31,9.25,$0.25,37.01
2013-09-30,10.18,$0.27,37.69
2013-06-30,8.83,$0.28,31.53
2013-03-31,8.99,$0.19,47.32
2012-12-31,8.63,$0.25,34.52
2012-09-30,8.89,$0.21,42.33
2012-06-30,9.74,$0.22,44.27
2012-03-31,8.71,$0.23,37.88
2011-12-31,11.38,$0.15,75.85
2011-09-30,8.1,$0.12,67.49
2011-06-30,12.6,$0.03,419.84
2011-03-31,10.51,$-0.03,0.0
2010-12-31,9.97,$-0.24,0.0
2010-09-30,6.65,$-0.30,0.0
2010-06-30,6.71,$-0.27,0.0
2010-03-31,6.21,$-0.22,0.0
2009-12-31,6.2,$0.02,310.16
