IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data,IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data,IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data,IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.38,,0.0
2024-12-31,14.93,$-5.19,0.0
2024-09-30,10.33,$-4.46,0.0
2024-06-30,8.13,$0.29,28.08
2024-03-31,8.49,$0.61,13.94
2023-12-31,7.8,$6.55,1.19
2023-09-30,5.19,$6.83,0.76
2023-06-30,7.19,$3.68,1.95
2023-03-31,4.7,$4.34,1.08
2022-12-31,3.86,$1.21,3.19
2022-09-30,3.14,$3.34,0.94
2022-06-30,2.78,$3.14,0.89
2022-03-31,3.85,$-0.95,0.0
2021-12-31,3.29,$2.86,1.15
2021-09-30,3.16,$-0.28,0.0
2020-12-31,3.48,$-2.59,0.0
2020-09-30,2.18,$-2.35,0.0
2020-06-30,2.34,$-2.78,0.0
2020-03-31,2.69,$-2.78,0.0
2019-12-31,5.35,$-1.74,0.0
2019-09-30,3.98,$-3.34,0.0
2019-06-30,7.39,$0.96,7.72
2019-03-31,8.24,$0.96,8.61
2018-12-31,9.87,$2.80,3.53
2018-09-30,12.81,$14.75,0.87
2018-06-30,13.07,$9.81,1.33
2018-03-31,17.87,$9.81,1.82
2017-12-31,22.37,$9.44,2.37
2017-09-30,17.67,$3.83,4.62
2017-06-30,17.37,$2.52,6.89
2017-03-31,17.65,$1.77,10.0
2016-12-31,13.28,$1.44,9.25
2016-09-30,13.67,$-2.09,0.0
2016-06-30,12.1,$-1.94,0.0
2016-03-31,10.77,$0.40,26.66
2015-12-31,8.86,$0.13,69.4
2015-09-30,10.47,$0.51,20.51
2015-06-30,12.92,$1.07,12.03
2015-03-31,14.19,$-1.44,0.0
2014-12-31,11.07,$-1.08,0.0
2014-09-30,9.91,$-1.24,0.0
2014-06-30,11.73,$-1.15,0.0
2014-03-31,7.57,$-0.49,0.0
2013-12-31,8.67,$0.02,407.03
2013-09-30,6.01,$0.85,7.07
2013-06-30,5.01,$0.90,5.54
2013-03-31,6.36,$1.42,4.46
2012-12-31,4.7,$1.42,3.3
2012-09-30,4.32,$1.24,3.47
2012-06-30,4.16,$1.11,3.76
2012-03-31,5.93,$1.12,5.31
2011-12-31,6.08,$1.78,3.42
2011-09-30,4.69,$1.82,2.58
2011-06-30,7.42,$2.05,3.62
2011-03-31,7.24,$1.79,4.05
2010-12-31,8.4,$0.81,10.4
2010-09-30,7.48,$0.28,27.04
2010-06-30,5.28,$0.66,8.0
2010-03-31,5.47,$0.66,8.3
2009-12-31,4.79,$0.64,7.5
