Ceragon Networks PE Ratio Historical Data,Ceragon Networks PE Ratio Historical Data,Ceragon Networks PE Ratio Historical Data,Ceragon Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.51,,11.41
2024-09-30,2.74,$0.22,12.45
2024-06-30,2.5,$0.12,20.83
2024-03-31,3.2,$0.05,64.0
2023-12-31,2.16,$0.07,30.86
2023-09-30,2.05,$0.05,41.0
2023-06-30,2.1,0,0.0
2023-03-31,1.67,$-0.04,0.0
2022-12-31,1.91,$-0.09,0.0
2022-09-30,1.83,$-0.21,0.0
2022-06-30,2.57,$-0.20,0.0
2022-03-31,2.13,$-0.20,0.0
2021-12-31,2.58,$-0.18,0.0
2021-09-30,3.49,$-0.11,0.0
2021-06-30,3.77,$-0.09,0.0
2021-03-31,3.77,$-0.14,0.0
2020-12-31,2.78,$-0.22,0.0
2020-09-30,2.49,$-0.19,0.0
2020-06-30,2.15,$-0.21,0.0
2020-03-31,1.26,$-0.13,0.0
2019-12-31,2.1,$-0.03,0.0
2019-09-30,2.69,$0.16,16.81
2019-06-30,2.93,$0.24,12.21
2019-03-31,3.59,$0.27,13.3
2018-12-31,3.78,$0.29,13.03
2018-09-30,3.37,$0.24,14.04
2018-06-30,3.57,$0.20,17.85
2018-03-31,2.69,$0.22,12.23
2017-12-31,1.98,$0.19,10.42
2017-09-30,2.08,$0.20,10.4
2017-06-30,2.55,$0.20,12.75
2017-03-31,3.27,$0.14,23.36
2016-12-31,2.62,$0.15,17.47
2016-09-30,2.36,$0.12,19.67
2016-06-30,1.62,$0.10,16.2
2016-03-31,1.27,$0.12,10.58
2015-12-31,1.21,$0.02,60.5
2015-09-30,1.56,$-0.73,0.0
2015-06-30,1.15,$-0.83,0.0
2015-03-31,1.14,$-0.70,0.0
2014-12-31,1.01,$-1.12,0.0
2014-09-30,2.38,$-0.79,0.0
2014-06-30,2.54,$-0.99,0.0
2014-03-31,2.83,$-1.34,0.0
2013-12-31,2.97,$-1.21,0.0
2013-09-30,4.21,$-1.09,0.0
2013-06-30,3.14,$-0.88,0.0
2013-03-31,4.32,$-0.71,0.0
2012-12-31,4.41,$-0.43,0.0
2012-09-30,5.7,$-0.43,0.0
2012-06-30,8.57,$-0.55,0.0
2012-03-31,9.49,$-1.00,0.0
2011-12-31,7.7,$-1.50,0.0
2011-09-30,9.55,$-1.17,0.0
2011-06-30,11.89,$-0.85,0.0
2011-03-31,12.08,$-0.30,0.0
2010-12-31,13.18,$0.38,34.68
2010-09-30,9.89,$0.34,29.09
2010-06-30,7.4,$0.24,30.83
2010-03-31,10.92,$0.18,60.67
2009-12-31,11.74,$0.11,106.73
