Cumulus Media PE Ratio Historical Data,Cumulus Media PE Ratio Historical Data,Cumulus Media PE Ratio Historical Data,Cumulus Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.44,,0.0
2024-12-31,0.67,$-16.70,0.0
2024-09-30,1.31,$-9.04,0.0
2024-06-30,2.04,$-8.27,0.0
2024-03-31,3.59,$-6.69,0.0
2023-12-31,5.32,$-7.01,0.0
2023-09-30,5.09,$-1.07,0.0
2023-06-30,4.1,$-0.78,0.0
2023-03-31,3.69,$-0.30,0.0
2022-12-31,6.21,$0.83,7.48
2022-09-30,7.03,$1.67,4.21
2022-06-30,7.73,$2.54,3.04
2022-03-31,9.95,$1.83,5.44
2021-12-31,11.25,$0.80,14.06
2021-09-30,12.25,$-0.05,0.0
2021-06-30,14.65,$-2.15,0.0
2021-03-31,9.11,$-3.65,0.0
2020-12-31,8.72,$-2.94,0.0
2020-09-30,5.37,$-2.85,0.0
2020-06-30,3.95,$-1.26,0.0
2020-03-31,5.42,$2.64,2.05
2019-12-31,17.57,$3.02,5.82
2019-09-30,14.54,$5.12,2.84
2019-06-30,18.55,$4.94,3.76
