Huntsman PE Ratio Historical Data,Huntsman PE Ratio Historical Data,Huntsman PE Ratio Historical Data,Huntsman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.34,,0.0
2024-12-31,18.03,$-1.10,0.0
2024-09-30,23.89,$-0.69,0.0
2024-06-30,22.22,$-0.50,0.0
2024-03-31,25.13,$-0.52,0.0
2023-12-31,24.03,$0.53,45.33
2023-09-30,23.12,$0.46,50.26
2023-06-30,25.37,$0.96,26.42
2023-03-31,25.45,$1.95,13.05
2022-12-31,25.34,$2.16,11.73
2022-09-30,22.46,$5.37,4.18
2022-06-30,25.74,$5.81,4.43
2022-03-31,33.82,$5.41,6.25
2021-12-31,31.28,$4.74,6.6
2021-09-30,26.38,$3.55,7.43
2021-06-30,23.48,$2.83,8.3
2021-03-31,25.34,$1.85,13.7
2020-12-31,21.98,$4.64,4.74
2020-09-30,19.29,$4.44,4.34
2020-06-30,15.5,$4.35,3.56
2020-03-31,12.33,$5.10,2.42
2019-12-31,20.42,$2.45,8.33
2019-09-30,19.53,$-0.32,0.0
2019-06-30,17.04,$-0.50,0.0
2019-03-31,18.59,$0.74,25.13
2018-12-31,15.84,$1.34,11.82
2018-09-30,22.17,$3.77,5.88
2018-06-30,23.63,$4.42,5.35
2018-03-31,23.56,$3.40,6.93
2017-12-31,26.67,$2.60,10.26
2017-09-30,21.88,$2.13,10.27
2017-06-30,20.53,$1.76,11.66
2017-03-31,19.39,$1.43,13.56
2016-12-31,14.99,$1.36,11.02
2016-09-30,12.71,$0.85,14.95
2016-06-30,10.41,$0.84,12.4
2016-03-31,10.21,$0.60,17.02
2015-12-31,8.64,$0.38,22.74
2015-09-30,7.28,$0.20,36.39
2015-06-30,16.44,$0.74,22.22
2015-03-31,16.42,$1.10,14.93
2014-12-31,16.78,$1.30,12.91
2014-09-30,19.04,$1.63,11.68
2014-06-30,20.5,$1.13,18.14
2014-03-31,17.73,$0.84,21.11
2013-12-31,17.77,$0.52,34.17
2013-09-30,14.81,$0.18,82.27
2013-06-30,11.83,$0.40,29.56
2013-03-31,13.18,$0.73,18.06
2012-12-31,11.2,$1.51,7.42
2012-09-30,10.45,$2.12,4.93
2012-06-30,9.0,$1.50,6.0
2012-03-31,9.67,$1.45,6.67
2011-12-31,6.85,$1.03,6.65
2011-09-30,6.56,$0.71,9.24
2011-06-30,12.68,$1.08,11.74
2011-03-31,11.62,$1.08,10.76
2010-12-31,10.38,$0.09,115.28
2010-09-30,7.63,$0.23,33.2
2010-06-30,5.67,$-0.29,0.0
2010-03-31,7.8,$0.75,10.4
2009-12-31,7.25,$0.24,30.22
