AMN Healthcare Services Inc PE Ratio Historical Data,AMN Healthcare Services Inc PE Ratio Historical Data,AMN Healthcare Services Inc PE Ratio Historical Data,AMN Healthcare Services Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.24,,0.0
2024-12-31,23.92,$-3.85,0.0
2024-09-30,42.39,$1.38,30.72
2024-06-30,51.23,$2.59,19.78
2024-03-31,62.51,$3.72,16.8
2023-12-31,74.88,$5.29,14.16
2023-09-30,85.18,$6.84,12.45
2023-06-30,109.12,$7.55,14.45
2023-03-31,82.96,$8.77,9.46
2022-12-31,102.82,$9.84,10.45
2022-09-30,105.96,$10.38,10.21
2022-06-30,109.71,$9.82,11.17
2022-03-31,104.33,$8.44,12.36
2021-12-31,122.33,$6.82,17.94
2021-09-30,114.75,$4.59,25.0
2021-06-30,96.98,$3.60,26.94
2021-03-31,73.7,$2.68,27.5
2020-12-31,68.25,$1.48,46.11
2020-09-30,58.46,$1.87,31.26
2020-06-30,45.24,$1.81,24.99
2020-03-31,57.81,$1.95,29.65
2019-12-31,62.31,$2.39,26.07
2019-09-30,57.56,$2.55,22.57
2019-06-30,54.25,$2.64,20.55
2019-03-31,47.09,$2.76,17.06
2018-12-31,56.66,$2.92,19.4
2018-09-30,54.7,$3.02,18.11
2018-06-30,58.6,$3.01,19.47
2018-03-31,56.75,$2.91,19.5
2017-12-31,49.25,$2.69,18.31
2017-09-30,45.7,$2.39,19.12
2017-06-30,39.05,$2.37,16.48
2017-03-31,40.6,$2.27,17.89
2016-12-31,38.45,$2.15,17.88
2016-09-30,31.87,$2.02,15.78
2016-06-30,39.97,$2.16,18.5
2016-03-31,33.61,$1.95,17.24
2015-12-31,31.05,$1.67,18.59
2015-09-30,30.01,$1.46,20.55
2015-06-30,31.59,$0.95,33.25
2015-03-31,23.07,$0.78,29.58
2014-12-31,19.6,$0.69,28.41
2014-09-30,15.7,$0.66,23.79
2014-06-30,12.3,$0.66,18.64
2014-03-31,13.74,$0.69,19.91
2013-12-31,14.7,$0.69,21.3
2013-09-30,13.76,$0.67,20.54
2013-06-30,14.32,$0.61,23.48
2013-03-31,15.83,$0.43,36.81
2012-12-31,11.55,$0.36,32.08
2012-09-30,10.06,$0.16,62.88
2012-06-30,5.93,$-0.63,0.0
2012-03-31,6.06,$-0.61,0.0
2011-12-31,4.43,$-0.65,0.0
2011-09-30,4.01,$-0.63,0.0
2011-06-30,8.32,$-1.44,0.0
2011-03-31,8.66,$-1.46,0.0
2010-12-31,6.14,$-1.49,0.0
2010-09-30,5.14,$-1.54,0.0
2010-06-30,7.48,$-0.12,0.0
2010-03-31,8.8,$0.01,880.0
2009-12-31,9.06,$-3.75,0.0
