Bit Digital PE Ratio Historical Data,Bit Digital PE Ratio Historical Data,Bit Digital PE Ratio Historical Data,Bit Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.4,,8.57
2024-12-31,2.93,$0.28,10.46
2024-09-30,3.51,$0.06,58.5
2024-06-30,3.18,$0.24,13.25
2024-03-31,2.87,$0.30,9.57
2023-12-31,4.23,$-0.16,0.0
2023-09-30,2.14,$-0.93,0.0
2023-06-30,4.06,$-1.02,0.0
2023-03-31,1.54,$-1.22,0.0
2022-12-31,0.6,$-1.34,0.0
2022-09-30,1.2,$-0.75,0.0
2022-06-30,1.31,$-0.95,0.0
2022-03-31,3.6,$-0.75,0.0
2021-12-31,6.08,$0.14,43.43
2021-09-30,7.23,$0.34,21.26
2021-06-30,6.84,$0.71,9.63
2021-03-31,15.02,$0.74,20.3
2020-12-31,21.91,0,0.0
2020-09-30,4.11,0,0.0
2020-06-30,1.29,0,0.0
2020-03-31,0.55,0,0.0
2019-12-31,0.4,0,0.0
