Third Coast Bancshares PE Ratio Historical Data,Third Coast Bancshares PE Ratio Historical Data,Third Coast Bancshares PE Ratio Historical Data,Third Coast Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.95,,12.26
2024-12-31,33.95,$2.77,12.26
2024-09-30,26.77,$2.55,10.5
2024-06-30,21.27,$2.13,9.99
2024-03-31,20.02,$2.03,9.86
2023-12-31,19.87,$1.97,10.09
2023-09-30,17.1,$1.84,9.29
2023-06-30,15.87,$2.01,7.9
2023-03-31,15.71,$1.64,9.58
2022-12-31,18.43,$1.24,14.86
2022-09-30,17.11,$0.83,20.61
