Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.28,,27.65
2025-01-31,151.52,$4.35,34.83
2024-10-31,130.31,$4.42,29.48
2024-07-31,141.17,$4.82,29.29
2024-04-30,136.56,$4.23,32.28
2024-01-31,129.44,$4.20,30.82
2023-10-31,102.67,$4.21,24.39
2023-07-31,120.7,$3.82,31.6
2023-04-30,133.99,$4.54,29.51
2023-01-31,150.22,$4.43,33.91
2022-10-31,136.45,$4.17,32.72
2022-07-31,132.04,$4.39,30.08
2022-04-30,117.23,$4.15,28.25
2022-01-31,136.72,$3.94,34.7
2021-10-31,154.35,$3.94,39.17
2021-07-31,149.98,$3.20,46.87
2021-04-30,130.64,$2.98,43.84
2021-01-31,117.3,$2.60,45.11
2020-10-31,99.49,$2.30,43.25
2020-07-31,93.71,$2.21,42.4
2020-04-30,74.42,$2.17,34.3
2020-01-31,79.95,$2.42,33.04
2019-10-31,73.2,$3.36,21.79
2019-07-31,66.93,$3.35,19.98
2019-04-30,75.53,$3.48,21.7
2019-01-31,73.03,$3.54,20.63
2018-10-31,62.06,$0.98,63.33
2018-07-31,63.13,$0.91,69.37
2018-04-30,62.69,$0.72,87.07
2018-01-31,69.86,$0.59,118.41
2017-10-31,64.58,$2.10,30.75
2017-07-31,56.64,$1.94,29.2
2017-04-30,52.03,$1.78,29.23
2017-01-31,46.17,$1.56,29.6
2016-10-31,40.96,$1.41,29.05
2016-07-31,45.12,$1.45,31.12
2016-04-30,38.28,$1.38,27.74
2016-01-31,35.12,$1.35,26.01
2015-10-31,35.12,$1.19,29.52
2015-07-31,37.98,$0.82,46.32
2015-04-30,38.28,$0.94,40.72
2015-01-31,34.86,$1.10,31.69
2014-10-31,36.79,$1.47,25.02
2014-07-31,37.24,$2.05,18.16
2014-04-30,35.79,$2.11,16.96
2014-01-31,38.42,$2.18,17.63
2013-10-31,33.46,$2.11,15.86
2013-07-31,29.42,$2.68,10.98
2013-04-30,27.18,$2.88,9.44
2013-01-31,29.29,$3.12,9.39
2012-10-31,23.48,$3.26,7.2
2012-07-31,24.92,$2.88,8.65
2012-04-30,27.38,$3.11,8.8
2012-01-31,27.5,$2.95,9.32
2011-10-31,24.01,$2.84,8.45
2011-07-31,27.3,$2.68,10.19
2011-04-30,32.32,$2.34,13.81
2011-01-31,27.09,$2.09,12.96
2010-10-31,22.54,$1.77,12.73
2010-07-31,18.09,$1.18,15.33
2010-04-30,23.48,$0.54,43.49
2010-01-31,18.15,$-0.06,0.0
2009-10-31,16.02,$-0.10,0.0
