Flux Power Holdings PE Ratio Historical Data,Flux Power Holdings PE Ratio Historical Data,Flux Power Holdings PE Ratio Historical Data,Flux Power Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.63,,0.0
2024-06-30,3.11,$-0.51,0.0
2024-03-31,4.43,$-0.43,0.0
2023-12-31,4.11,$-0.36,0.0
2023-09-30,3.44,$-0.41,0.0
2023-06-30,4.31,$-0.41,0.0
2023-03-31,4.86,$-0.49,0.0
2022-12-31,3.97,$-0.63,0.0
2022-09-30,2.56,$-0.85,0.0
2022-06-30,2.4,$-1.02,0.0
2022-03-31,2.67,$-1.13,0.0
2021-12-31,4.29,$-1.04,0.0
2021-09-30,5.08,$-1.01,0.0
2021-06-30,11.63,$-1.13,0.0
2021-03-31,12.95,$-1.48,0.0
2020-12-31,17.24,$-2.12,0.0
