AquaBounty Technologies PE Ratio Historical Data,AquaBounty Technologies PE Ratio Historical Data,AquaBounty Technologies PE Ratio Historical Data,AquaBounty Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.59,,0.0
2024-09-30,1.22,$-19.05,0.0
2024-06-30,1.61,$-19.77,0.0
2024-03-31,2.02,$-8.49,0.0
2023-12-31,2.85,$-7.39,0.0
2023-09-30,4.78,$-7.00,0.0
2023-06-30,7.1,$-7.00,0.0
2023-03-31,11.9,$-6.80,0.0
2022-12-31,15.28,$-6.40,0.0
2022-09-30,15.62,$-6.20,0.0
2022-06-30,34.2,$-6.60,0.0
2022-03-31,37.4,$-6.40,0.0
2021-12-31,42.0,$-6.20,0.0
2021-09-30,81.4,$-7.40,0.0
2021-06-30,107.2,$-7.20,0.0
2021-03-31,134.0,$-8.00,0.0
2020-12-31,175.2,$-9.00,0.0
2020-09-30,89.6,$-9.40,0.0
2020-06-30,64.4,$-10.40,0.0
2020-03-31,32.6,$-12.00,0.0
2019-12-31,43.4,$-13.40,0.0
2019-09-30,50.0,$-16.20,0.0
2019-06-30,61.4,$-17.60,0.0
2019-03-31,43.8,$-18.20,0.0
2018-12-31,41.0,$-18.80,0.0
2018-09-30,64.2,$-18.80,0.0
2018-06-30,66.6,$-20.20,0.0
2018-03-31,59.0,$-20.60,0.0
2017-12-31,70.4,$-16.40,0.0
