OptiNose PE Ratio Historical Data,OptiNose PE Ratio Historical Data,OptiNose PE Ratio Historical Data,OptiNose PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.15,,0.0
2024-09-30,0.67,$-4.20,0.0
2024-06-30,1.04,$-5.40,0.0
2024-03-31,1.46,$-4.05,0.0
2023-12-31,1.29,$-4.80,0.0
2023-09-30,1.23,$-6.00,0.0
2023-06-30,1.23,$-7.50,0.0
2023-03-31,1.93,$-11.24,0.0
2022-12-31,1.85,$-13.34,0.0
2022-09-30,3.66,$-14.24,0.0
2022-06-30,3.66,$-16.34,0.0
2022-03-31,2.47,$-19.49,0.0
2021-12-31,1.62,$-22.19,0.0
2021-09-30,3.0,$-25.64,0.0
2021-06-30,3.11,$-27.29,0.0
2021-03-31,3.69,$-29.09,0.0
2020-12-31,4.14,$-31.18,0.0
2020-09-30,3.9,$-32.98,0.0
2020-06-30,7.44,$-36.88,0.0
2020-03-31,4.49,$-38.38,0.0
2019-12-31,9.22,$-39.43,0.0
2019-09-30,7.0,$-40.33,0.0
2019-06-30,7.08,$-39.13,0.0
2019-03-31,10.3,$-38.83,0.0
2018-12-31,6.2,$-40.48,0.0
2018-09-30,12.43,$-40.48,0.0
