Heritage Global PE Ratio Historical Data,Heritage Global PE Ratio Historical Data,Heritage Global PE Ratio Historical Data,Heritage Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.23,,14.87
2024-12-31,1.85,$0.15,12.33
2024-09-30,1.7,$0.28,6.07
2024-06-30,2.46,$0.30,8.2
2024-03-31,2.64,$0.30,8.8
2023-12-31,2.78,$0.33,8.42
2023-09-30,3.12,$0.47,6.64
2023-06-30,3.62,$0.48,7.54
2023-03-31,2.87,$0.48,5.98
2022-12-31,2.35,$0.42,5.6
2022-09-30,1.61,$0.18,8.94
2022-06-30,1.5,$0.13,11.54
2022-03-31,1.35,$0.08,16.88
2021-12-31,1.87,$0.09,20.78
2021-09-30,1.96,$0.23,8.52
2021-06-30,2.53,$0.26,9.73
2021-03-31,2.85,$0.31,9.19
2020-12-31,2.66,$0.28,9.5
