Perfect PE Ratio Historical Data,Perfect PE Ratio Historical Data,Perfect PE Ratio Historical Data,Perfect PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.87,,26.71
2024-09-30,1.92,$0.07,27.43
2024-06-30,2.02,$0.07,28.86
2024-03-31,2.48,$0.06,41.33
2023-12-31,3.1,$0.06,51.67
2023-09-30,3.28,$0.04,82.0
2023-06-30,4.83,$0.01,483.0
2023-03-31,5.98,$0.01,598.0
2022-12-31,7.14,$0.04,178.5
2022-09-30,9.98,$0.05,199.6
2022-06-30,9.85,$0.17,57.94
2022-03-31,9.86,$0.26,37.92
2021-12-31,9.85,$1.18,8.35
