Ashland PE Ratio Historical Data,Ashland PE Ratio Historical Data,Ashland PE Ratio Historical Data,Ashland PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.87,,0.0
2024-12-31,71.46,$-0.66,0.0
2024-09-30,86.52,$3.35,25.83
2024-06-30,93.58,$2.95,31.72
2024-03-31,96.43,$3.77,25.58
2023-12-31,83.16,$3.05,27.26
2023-09-30,80.17,$3.27,24.52
2023-06-30,84.93,$4.38,19.39
2023-03-31,99.92,$4.09,24.43
2022-12-31,104.26,$16.11,6.47
2022-09-30,91.81,$16.21,5.66
2022-06-30,99.29,$15.89,6.25
2022-03-31,94.53,$16.53,5.72
2021-12-31,103.08,$3.50,29.45
2021-09-30,85.07,$3.58,23.76
2021-06-30,83.25,$2.93,28.41
2021-03-31,84.2,$2.25,37.42
2020-12-31,74.88,$-8.02,0.0
2020-09-30,66.8,$-8.40,0.0
2020-06-30,64.85,$-1.76,0.0
2020-03-31,46.8,$-1.32,0.0
2019-12-31,71.26,$9.48,7.52
2019-09-30,71.47,$8.19,8.73
2019-06-30,73.9,$1.63,45.33
2019-03-31,71.93,$1.14,63.1
2018-12-31,65.12,$1.10,59.2
2018-09-30,76.72,$1.79,42.86
2018-06-30,71.31,$0.72,99.05
2018-03-31,63.46,$-0.38,0.0
2017-12-31,64.53,$-0.06,0.0
2017-09-30,59.09,$-0.00,0.0
2017-06-30,59.34,$-3.54,0.0
2017-03-31,54.28,$-1.87,0.0
2016-12-31,47.76,$-1.96,0.0
2016-09-30,50.5,$-0.60,0.0
2016-06-30,49.98,$3.04,16.44
2016-03-31,47.89,$3.47,13.8
2015-12-31,44.73,$5.35,8.36
2015-09-30,43.82,$4.46,9.83
2015-06-30,53.09,$6.21,8.55
2015-03-31,55.44,$5.90,9.4
2014-12-31,52.16,$2.07,25.2
2014-09-30,45.34,$3.01,15.06
2014-06-30,47.36,$7.23,6.55
2014-03-31,43.32,$7.53,5.75
2013-12-31,42.26,$8.76,4.82
2013-09-30,40.13,$8.62,4.65
2013-06-30,36.09,$-0.02,0.0
2013-03-31,31.99,$0.33,96.95
2012-12-31,34.52,$0.77,44.84
2012-09-30,30.64,$0.28,109.44
2012-06-30,29.57,$0.39,75.83
2012-03-31,25.96,$-0.42,0.0
2011-12-31,24.24,$2.87,8.44
2011-09-30,18.65,$3.19,5.85
2011-06-30,27.21,$7.53,3.61
2011-03-31,24.26,$8.29,2.93
2010-12-31,21.31,$4.17,5.11
2010-09-30,20.38,$4.18,4.87
2010-06-30,19.34,$4.44,4.36
2010-03-31,21.92,$3.26,6.72
2009-12-31,16.43,$3.64,4.51
