SecureWorks PE Ratio Historical Data,SecureWorks PE Ratio Historical Data,SecureWorks PE Ratio Historical Data,SecureWorks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,8.47,,0.0
2024-07-31,7.7,$-0.85,0.0
2024-04-30,6.09,$-1.06,0.0
2024-01-31,6.89,$-1.01,0.0
2023-10-31,5.88,$-1.38,0.0
2023-07-31,7.68,$-1.54,0.0
2023-04-30,9.07,$-1.45,0.0
2023-01-31,8.02,$-1.35,0.0
2022-10-31,8.18,$-0.99,0.0
2022-07-31,9.93,$-0.81,0.0
2022-04-30,11.04,$-0.66,0.0
2022-01-31,14.75,$-0.48,0.0
2021-10-31,18.42,$-0.49,0.0
2021-07-31,20.06,$-0.38,0.0
2021-04-30,13.01,$-0.26,0.0
2021-01-31,13.84,$-0.27,0.0
2020-10-31,10.4,$-0.21,0.0
2020-07-31,11.96,$-0.27,0.0
2020-04-30,11.38,$-0.38,0.0
2020-01-31,15.73,$-0.39,0.0
2019-10-31,12.16,$-0.48,0.0
2019-07-31,11.94,$-0.43,0.0
2019-04-30,19.42,$-0.47,0.0
2019-01-31,22.92,$-0.25,0.0
2018-10-31,16.49,$-0.24,0.0
2018-04-30,10.92,$-0.34,0.0
2018-01-31,9.68,$-0.35,0.0
2017-10-31,10.02,$-0.56,0.0
2017-07-31,10.94,$-0.54,0.0
2017-04-30,8.65,$-0.49,0.0
2017-01-31,10.34,$-0.46,0.0
2018-07-31,12.82,$-0.54,0.0
