Universal Health Services PE Ratio Historical Data,Universal Health Services PE Ratio Historical Data,Universal Health Services PE Ratio Historical Data,Universal Health Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,178.7,,10.61
2024-12-31,179.42,$16.84,10.65
2024-09-30,228.78,$15.04,15.21
2024-06-30,184.59,$13.64,13.53
2024-03-31,182.12,$11.80,15.43
2023-12-31,151.98,$10.26,14.81
2023-09-30,125.17,$9.53,13.13
2023-06-30,156.83,$9.63,16.29
2023-03-31,126.15,$9.41,13.41
2022-12-31,139.63,$9.15,15.26
2022-09-30,87.26,$9.72,8.98
2022-06-30,99.45,$9.82,10.13
2022-03-31,142.91,$11.41,12.53
2021-12-31,127.66,$11.82,10.8
2021-09-30,136.0,$12.42,10.95
2021-06-30,143.74,$12.64,11.37
2021-03-31,130.78,$11.80,11.08
2020-12-31,134.61,$11.01,12.23
2020-09-30,104.77,$10.20,10.27
2020-06-30,90.94,$8.48,10.72
2020-03-31,97.0,$8.19,11.84
2019-12-31,140.22,$9.12,15.38
2019-09-30,145.19,$8.03,18.08
2019-06-30,127.09,$8.77,14.49
2019-03-31,130.28,$8.50,15.33
2018-12-31,113.43,$8.29,13.68
2018-09-30,124.32,$8.90,13.97
2018-06-30,108.29,$8.53,12.7
2018-03-31,114.96,$8.05,14.28
2017-12-31,109.95,$7.81,14.08
2017-09-30,107.52,$7.28,14.77
2017-06-30,118.2,$7.35,16.08
2017-03-31,120.39,$7.33,16.42
2016-12-31,102.83,$7.14,14.4
2016-09-30,119.01,$7.10,16.76
2016-06-30,129.41,$7.04,18.38
2016-03-31,120.27,$6.95,17.31
2015-12-31,115.13,$6.75,17.06
2015-09-30,120.15,$6.72,17.88
2015-06-30,136.7,$6.06,22.56
2015-03-31,113.15,$5.77,19.61
2014-12-31,106.86,$5.42,19.72
2014-09-30,100.27,$4.95,20.26
2014-06-30,91.8,$5.28,17.39
2014-03-31,78.63,$5.30,14.84
2013-12-31,77.81,$5.13,15.17
2013-09-30,71.76,$5.28,13.59
2013-06-30,64.03,$4.86,13.18
2013-03-31,61.03,$4.43,13.78
2012-12-31,46.16,$4.53,10.19
2012-09-30,43.24,$4.12,10.49
2012-06-30,40.76,$4.25,9.59
2012-03-31,39.52,$4.19,9.43
2011-12-31,36.61,$4.03,9.08
2011-09-30,31.99,$3.43,9.33
2011-06-30,48.42,$3.14,15.42
2011-03-31,46.39,$2.77,16.75
2010-12-31,40.72,$2.35,17.33
2010-09-30,36.4,$2.59,14.05
2010-06-30,35.67,$2.54,14.07
2010-03-31,32.78,$2.69,12.21
2009-12-31,28.44,$2.64,10.77
