Bioceres Crop Solutions PE Ratio Historical Data,Bioceres Crop Solutions PE Ratio Historical Data,Bioceres Crop Solutions PE Ratio Historical Data,Bioceres Crop Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.31,,215.5
2024-12-31,6.08,$0.02,304.0
2024-09-30,7.87,$0.02,393.5
2024-06-30,11.21,$0.04,280.25
2024-03-31,12.66,$0.01,1266.0
2023-12-31,13.73,$0.32,42.91
2023-09-30,11.29,$0.18,62.72
2023-06-30,13.36,$0.26,51.38
2023-03-31,11.61,$0.20,58.05
2022-12-31,12.03,$-0.41,0.0
2022-09-30,13.02,$-0.19,0.0
2022-06-30,13.71,$-0.18,0.0
2022-03-31,13.62,$-0.04,0.0
2021-12-31,14.14,$0.09,157.11
2021-09-30,13.5,$0.03,450.0
2021-06-30,14.05,$-0.18,0.0
2021-03-31,10.18,$-0.14,0.0
2020-12-31,6.2,$-0.20,0.0
2020-09-30,5.36,$0.09,59.56
2020-06-30,6.06,$0.08,75.75
2020-03-31,4.9,$-0.02,0.0
