First Bancshares PE Ratio Historical Data,First Bancshares PE Ratio Historical Data,First Bancshares PE Ratio Historical Data,First Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.83,,14.27
2024-12-31,35.0,$2.44,14.34
2024-09-30,31.91,$2.21,14.44
2024-06-30,25.6,$2.39,10.71
2024-03-31,25.32,$2.52,10.05
2023-12-31,28.32,$2.39,11.85
2023-09-30,25.81,$2.71,9.52
2023-06-30,24.55,$2.55,9.63
2023-03-31,24.33,$2.56,9.5
2022-12-31,29.95,$2.85,10.51
2022-09-30,27.78,$2.93,9.48
2022-06-30,26.43,$3.08,8.58
2022-03-31,30.93,$3.06,10.11
2021-12-31,35.33,$3.04,11.62
2021-09-30,35.34,$3.01,11.74
2021-06-30,33.98,$2.80,12.14
2021-03-31,33.12,$2.85,11.62
2020-12-31,27.83,$2.50,11.13
2020-09-30,18.81,$2.42,7.77
2020-06-30,20.1,$2.58,7.79
2020-03-31,16.95,$2.48,6.83
2019-12-31,31.48,$2.52,12.49
2019-09-30,28.55,$2.36,12.1
2019-06-30,26.76,$2.04,13.12
2019-03-31,27.18,$1.75,15.53
2018-12-31,26.55,$1.61,16.49
2018-09-30,34.23,$1.36,25.17
2018-06-30,31.47,$1.48,21.26
2018-03-31,28.19,$1.34,21.04
2017-12-31,29.85,$1.12,26.65
2017-09-30,26.28,$1.15,22.85
2017-06-30,24.03,$1.09,22.04
2017-03-31,24.78,$1.30,19.06
2016-12-31,23.87,$1.64,14.56
2016-09-30,16.55,$1.80,9.2
2016-06-30,14.94,$1.74,8.58
2016-03-31,13.49,$1.66,8.13
2015-12-31,15.79,$1.56,10.12
2015-09-30,15.01,$1.50,10.01
2015-06-30,14.27,$1.38,10.34
2015-03-31,13.91,$1.28,10.87
2014-12-31,12.38,$1.17,10.58
2014-09-30,12.3,$1.08,11.39
2014-06-30,12.05,$1.00,12.05
2014-03-31,12.27,$0.89,13.78
2013-12-31,11.84,$0.99,11.96
2013-09-30,11.79,$1.06,11.12
2013-06-30,10.84,$1.11,9.76
2013-03-31,9.76,$1.23,7.94
2012-12-31,7.86,$1.16,6.78
2012-09-30,7.9,$1.10,7.18
2012-06-30,7.63,$1.07,7.13
2012-03-31,7.63,$0.96,7.95
2011-12-31,6.26,$0.82,7.63
2011-09-30,7.01,$0.76,9.22
2011-06-30,8.08,$0.73,11.07
2011-03-31,6.97,$0.73,9.55
2010-12-31,6.86,$0.74,9.27
2010-09-30,8.05,$0.69,11.67
2010-06-30,5.9,$0.74,7.97
2010-03-31,7.56,$0.58,13.04
2009-12-31,5.57,$0.48,11.61
