Barnes & Noble Education PE Ratio Historical Data,Barnes & Noble Education PE Ratio Historical Data,Barnes & Noble Education PE Ratio Historical Data,Barnes & Noble Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.68,,0.0
2025-01-31,11.19,$-15.73,0.0
2024-10-31,9.3,$-33.73,0.0
2024-07-31,10.64,$10.40,1.02
2024-04-30,20.34,$-78.24,0.0
2024-01-31,85.68,$-156.00,0.0
2023-10-31,102.0,$-186.00,0.0
2023-07-31,147.0,$-190.00,0.0
2023-04-30,156.0,$-195.00,0.0
2023-01-31,231.0,$-128.00,0.0
2022-10-31,279.0,$-151.00,0.0
2022-07-31,271.0,$-152.00,0.0
2022-04-30,304.0,$-137.00,0.0
2022-01-31,602.0,$-202.00,0.0
2021-10-31,1038.0,$-227.00,0.0
2021-07-31,835.0,$-253.00,0.0
2021-04-30,791.0,$-263.00,0.0
2021-01-31,586.0,$-261.00,0.0
2020-10-31,230.0,$-169.00,0.0
2020-07-31,212.0,$-110.00,0.0
2020-04-30,179.0,$-82.00,0.0
2020-01-31,344.0,$-95.00,0.0
2019-10-31,411.0,$-89.00,0.0
2019-07-31,350.0,$-38.00,0.0
2019-04-30,430.0,$-52.00,0.0
2019-01-31,572.0,$81.00,7.06
2018-10-31,571.0,$-525.00,0.0
2018-07-31,562.0,$-547.00,0.0
2018-04-30,719.0,$-540.00,0.0
2018-01-31,665.0,$-576.00,0.0
2017-10-31,545.0,$36.00,15.14
2017-07-31,723.0,$-4.00,0.0
2017-04-30,1041.0,$11.00,94.64
2017-01-31,1005.0,$5.00,201.0
2016-10-31,931.0,$-10.00,0.0
2016-07-31,1156.0,$-4.00,0.0
