Winmark PE Ratio Historical Data,Winmark PE Ratio Historical Data,Winmark PE Ratio Historical Data,Winmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,322.42,,29.61
2024-12-31,393.07,$10.89,36.09
2024-09-30,375.02,$10.93,34.31
2024-06-30,344.5,$10.95,31.46
2024-03-31,352.52,$10.95,32.19
2023-12-31,406.08,$11.03,36.82
2023-09-30,354.71,$11.25,31.53
2023-06-30,315.38,$11.13,28.34
2023-03-31,303.22,$10.82,28.02
2022-12-31,222.61,$10.98,20.27
2022-09-30,201.2,$11.21,17.95
2022-06-30,181.31,$10.95,16.56
2022-03-31,203.27,$10.74,18.93
2021-12-31,228.95,$10.49,21.83
2021-09-30,192.29,$9.49,20.26
2021-06-30,171.39,$9.25,18.53
2021-03-31,165.97,$8.25,20.12
2020-12-31,165.18,$7.72,21.4
2020-09-30,150.18,$7.71,19.48
2020-06-30,149.14,$7.52,19.83
2020-03-31,110.93,$7.98,13.9
2019-12-31,172.43,$7.84,21.99
2019-09-30,153.16,$7.59,20.18
2019-06-30,150.13,$7.36,20.4
2019-03-31,163.28,$7.30,22.37
2018-12-31,137.53,$7.26,18.94
2018-09-30,143.44,$7.29,19.68
2018-06-30,128.14,$6.61,19.39
2018-03-31,112.78,$6.17,18.28
2017-12-31,111.48,$5.70,19.56
2017-09-30,113.41,$5.25,21.6
2017-06-30,110.9,$5.33,20.81
2017-03-31,97.1,$5.29,18.36
2016-12-31,108.31,$5.13,21.11
2016-09-30,90.51,$5.03,17.99
2016-06-30,85.41,$4.85,17.61
2016-03-31,83.87,$4.60,18.23
2015-12-31,79.55,$4.71,16.89
2015-09-30,87.97,$4.49,19.59
2015-06-30,84.13,$4.35,19.34
2015-03-31,74.74,$4.17,17.92
2014-12-31,74.13,$3.86,19.21
2014-09-30,62.64,$3.64,17.21
2014-06-30,59.29,$3.55,16.7
2014-03-31,64.37,$3.56,18.08
2013-12-31,74.24,$3.48,21.33
2013-09-30,59.04,$2.95,20.01
2013-06-30,51.92,$2.77,18.74
2013-03-31,50.38,$2.59,19.45
2012-12-31,45.56,$2.48,18.37
2012-09-30,43.19,$2.94,14.69
2012-06-30,46.73,$2.78,16.81
2012-03-31,46.21,$2.78,16.62
2011-12-31,42.5,$2.69,15.8
2011-09-30,34.22,$2.49,13.74
2011-06-30,32.06,$2.34,13.7
2011-03-31,34.11,$2.14,15.94
2010-12-31,24.86,$1.98,12.55
2010-09-30,24.69,$1.66,14.88
2010-06-30,24.7,$1.48,16.69
2010-03-31,17.08,$1.25,13.66
2009-12-31,15.85,$1.09,14.54
