Stanley Black & Decker PE Ratio Historical Data,Stanley Black & Decker PE Ratio Historical Data,Stanley Black & Decker PE Ratio Historical Data,Stanley Black & Decker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.52,,41.51
2024-12-31,80.29,$1.94,41.39
2024-09-30,109.13,$-1.37,0.0
2024-06-30,78.52,$-1.94,0.0
2024-03-31,96.25,$-0.69,0.0
2023-12-31,95.57,$-2.08,0.0
2023-09-30,80.7,$-0.39,0.0
2023-06-30,89.72,$5.08,17.66
2023-03-31,76.39,$4.47,17.09
2022-12-31,70.55,$6.79,10.39
2022-09-30,69.95,$9.12,7.67
2022-06-30,96.62,$6.18,15.63
2022-03-31,127.97,$8.42,15.2
2021-12-31,171.78,$10.34,16.61
2021-09-30,158.94,$11.23,14.15
2021-06-30,185.08,$11.11,16.66
2021-03-31,179.68,$9.82,18.3
2020-12-31,160.08,$7.72,20.74
2020-09-30,144.87,$6.16,23.52
2020-06-30,123.95,$5.25,23.61
2020-03-31,88.44,$6.10,14.5
2019-12-31,145.87,$6.35,22.97
2019-09-30,126.55,$4.58,27.63
2019-06-30,126.07,$4.70,26.82
2019-03-31,118.1,$4.26,27.72
2018-12-31,103.34,$4.24,24.37
2018-09-30,126.39,$6.53,19.36
2018-06-30,114.09,$6.68,17.08
2018-03-31,131.02,$6.57,19.94
2017-12-31,144.55,$8.05,17.96
2017-09-30,128.12,$7.92,16.18
2017-06-30,118.9,$7.80,15.24
2017-03-31,111.79,$7.82,14.3
2016-12-31,96.06,$6.51,14.76
2016-09-30,102.5,$6.57,15.6
2016-06-30,92.27,$6.41,14.39
2016-03-31,86.86,$6.06,14.33
2015-12-31,87.6,$5.82,15.05
2015-09-30,79.2,$4.96,15.97
2015-06-30,85.47,$4.91,17.41
2015-03-31,77.06,$4.78,16.12
2014-12-31,77.23,$4.76,16.23
2014-09-30,70.99,$4.20,16.9
2014-06-30,69.81,$3.77,18.52
2014-03-31,64.21,$3.59,17.89
2013-12-31,63.39,$3.08,20.58
2013-09-30,70.71,$5.72,12.36
2013-06-30,60.0,$5.37,11.17
2013-03-31,62.46,$5.11,12.22
2012-12-31,56.71,$5.32,10.66
2012-09-30,58.05,$3.32,17.49
2012-06-30,48.64,$3.55,13.7
2012-03-31,57.78,$3.77,15.33
2011-12-31,50.48,$3.97,12.72
2011-09-30,36.44,$3.79,9.61
2011-06-30,53.12,$3.60,14.75
2011-03-31,56.16,$2.74,20.5
2010-12-31,48.76,$0.73,66.8
2010-09-30,44.43,$0.60,74.06
2010-06-30,36.21,$0.62,58.4
2010-03-31,40.9,$1.21,33.8
2009-12-31,36.5,$2.77,13.18
