MarineMax PE Ratio Historical Data,MarineMax PE Ratio Historical Data,MarineMax PE Ratio Historical Data,MarineMax PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.45,,9.85
2024-12-31,28.95,$2.38,12.16
2024-09-30,35.27,$1.65,21.38
2024-06-30,32.37,$2.15,15.06
2024-03-31,33.26,$2.76,12.05
2023-12-31,38.9,$4.04,9.63
2023-09-30,32.82,$4.89,6.71
2023-06-30,34.16,$5.95,5.74
2023-03-31,28.75,$7.14,4.03
2022-12-31,31.22,$8.16,3.83
2022-09-30,29.79,$8.86,3.36
2022-06-30,36.12,$8.58,4.21
2022-03-31,40.26,$8.00,5.03
2021-12-31,59.04,$7.32,8.07
2021-09-30,48.52,$6.77,7.17
2021-06-30,48.74,$6.45,7.56
2021-03-31,49.36,$5.44,9.07
2020-12-31,35.03,$3.98,8.8
2020-09-30,25.67,$3.35,7.66
2020-06-30,22.39,$2.53,8.85
2020-03-31,10.42,$1.79,5.82
2019-12-31,16.69,$1.79,9.32
2019-09-30,15.48,$1.59,9.74
2019-06-30,16.44,$1.78,9.24
2019-03-31,19.16,$1.69,11.34
2018-12-31,18.31,$1.73,10.58
2018-09-30,21.25,$1.71,12.43
2018-06-30,18.95,$1.38,13.73
2018-03-31,19.45,$1.20,16.21
2017-12-31,18.9,$1.04,18.17
2017-09-30,16.55,$0.96,17.24
2017-06-30,19.55,$1.01,19.36
2017-03-31,21.65,$1.01,21.44
2016-12-31,19.35,$1.00,19.35
2016-09-30,20.95,$0.93,22.53
2016-06-30,16.97,$2.03,8.36
2016-03-31,19.47,$2.05,9.5
2015-12-31,18.42,$1.97,9.35
2015-09-30,14.13,$1.94,7.28
2015-06-30,23.51,$0.83,28.33
2015-03-31,26.51,$0.71,37.34
2014-12-31,20.05,$0.61,32.87
2014-09-30,16.85,$0.46,36.63
2014-06-30,16.74,$0.46,36.39
2014-03-31,15.19,$0.55,27.62
2013-12-31,16.08,$0.64,25.13
2013-09-30,12.2,$0.60,20.33
2013-06-30,11.33,$0.32,35.41
2013-03-31,13.59,$-0.04,0.0
2012-12-31,8.94,$0.05,178.8
2012-09-30,8.29,$0.04,207.25
2012-06-30,9.51,$-0.14,0.0
2012-03-31,8.23,$-0.19,0.0
2011-12-31,6.52,$-0.49,0.0
2011-09-30,6.47,$-0.51,0.0
2011-06-30,8.76,$-0.34,0.0
2011-03-31,9.86,$-0.47,0.0
2010-12-31,9.35,$-0.56,0.0
2010-09-30,7.04,$0.10,70.4
2010-06-30,6.94,$-1.54,0.0
2010-03-31,10.76,$-2.05,0.0
2009-12-31,9.19,$-2.85,0.0
