Unifirst PE Ratio Historical Data,Unifirst PE Ratio Historical Data,Unifirst PE Ratio Historical Data,Unifirst PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,200.13,,25.59
2024-11-30,200.51,$7.82,25.64
2024-08-31,189.01,$7.77,24.33
2024-05-31,158.03,$6.85,23.07
2024-02-29,167.79,$6.11,27.46
2023-11-30,171.32,$5.97,28.7
2023-08-31,174.52,$5.52,31.62
2023-05-31,169.26,$5.44,31.11
2023-02-28,193.7,$5.48,35.35
2022-11-30,191.04,$5.50,34.73
2022-08-31,177.42,$5.46,32.5
2022-05-31,160.59,$5.89,27.27
2022-02-28,177.78,$6.77,26.26
2021-11-30,187.7,$7.51,24.99
2021-08-31,224.1,$7.94,28.22
2021-05-31,216.63,$7.78,27.84
2021-02-28,236.54,$6.69,35.36
2020-11-30,180.25,$6.80,26.51
2020-08-31,187.56,$7.12,26.34
2020-05-31,174.85,$7.86,22.25
2020-02-29,180.45,$9.20,19.61
2019-11-30,200.05,$9.86,20.29
2019-08-31,189.92,$9.33,20.36
2019-05-31,153.81,$8.74,17.6
2019-02-28,139.21,$8.13,17.12
2018-11-30,149.34,$8.50,17.57
2018-08-31,179.01,$8.18,21.88
2018-05-31,171.56,$6.13,27.99
2018-02-28,149.98,$5.47,27.42
2017-11-30,157.86,$3.72,42.44
2017-08-31,138.61,$3.43,40.41
2017-05-31,136.74,$5.41,25.28
2017-02-28,128.41,$5.71,22.49
2016-11-30,136.33,$5.77,23.63
2016-08-31,123.8,$6.17,20.06
2016-05-31,111.49,$5.86,19.03
2016-02-29,101.57,$5.98,16.98
2015-11-30,104.59,$6.08,17.2
2015-08-31,104.39,$6.15,16.97
2015-05-31,110.03,$6.15,17.89
2015-02-28,114.35,$6.07,18.84
2014-11-30,107.34,$6.08,17.66
2014-08-31,93.23,$5.94,15.69
2014-05-31,95.11,$6.03,15.77
2014-02-28,105.4,$5.93,17.77
2013-11-30,98.21,$5.99,16.39
2013-08-31,92.06,$5.82,15.82
2013-05-31,91.08,$5.43,16.77
2013-02-28,80.14,$5.37,14.92
2012-11-30,67.66,$5.00,13.53
2012-08-31,60.85,$4.76,12.78
2012-05-31,54.79,$4.53,12.09
2012-02-29,57.49,$4.09,14.06
2011-11-30,55.3,$3.95,14.0
2011-08-31,49.47,$3.85,12.85
2011-05-31,51.19,$3.82,13.4
2011-02-28,53.81,$3.87,13.9
2010-11-30,48.87,$3.88,12.6
2010-08-31,37.39,$3.89,9.61
2010-05-31,42.81,$3.90,10.98
2010-02-28,49.97,$4.04,12.37
2009-11-30,41.75,$4.15,10.06
