Hanover Bancorp PE Ratio Historical Data,Hanover Bancorp PE Ratio Historical Data,Hanover Bancorp PE Ratio Historical Data,Hanover Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.63,,19.85
2024-12-31,23.06,$1.14,20.22
2024-09-30,17.89,$1.14,15.69
2024-06-30,16.5,$1.14,14.47
2024-03-31,14.82,$1.45,10.22
2023-12-31,17.64,$1.33,13.26
2023-09-30,18.09,$2.05,8.82
2023-06-30,17.67,$1.57,11.25
2023-03-31,18.0,$1.95,9.23
