Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.19,,18.57
2024-12-31,26.53,$1.41,18.82
2024-09-30,28.49,$0.74,38.5
2024-06-30,27.18,$-0.46,0.0
2024-03-31,26.56,$-0.06,0.0
2023-12-31,27.14,$0.36,75.38
2023-09-30,30.84,$1.83,16.85
2023-06-30,33.72,$3.76,8.97
2023-03-31,37.1,$5.08,7.3
2022-12-31,46.17,$5.48,8.43
2022-09-30,39.09,$5.20,7.52
2022-06-30,46.47,$5.11,9.09
2022-03-31,45.53,$4.36,10.44
2021-12-31,51.54,$3.85,13.39
2021-09-30,37.21,$3.36,11.07
2021-06-30,33.57,$2.33,14.41
2021-03-31,30.76,$1.96,15.69
2020-12-31,30.91,$1.71,18.08
2020-09-30,28.92,$1.55,18.66
2020-06-30,25.52,$2.52,10.13
2020-03-31,25.21,$2.80,9.01
2019-12-31,29.96,$2.87,10.44
2019-09-30,27.21,$2.86,9.51
2019-06-30,32.5,$2.19,14.84
2019-03-31,31.58,$1.95,16.2
2018-12-31,32.19,$1.86,17.3
2018-09-30,32.25,$3.95,8.16
2018-06-30,26.32,$3.73,7.06
2018-03-31,25.5,$3.59,7.1
2017-12-31,25.79,$3.51,7.35
2017-09-30,25.19,$1.62,15.55
2017-06-30,23.47,$1.36,17.26
2017-03-31,23.67,$1.18,20.06
2016-12-31,22.25,$1.16,19.18
2016-09-30,22.97,$1.13,20.33
2016-06-30,23.68,$1.26,18.8
2016-03-31,19.76,$1.35,14.63
2015-12-31,21.3,$1.24,17.18
2015-09-30,20.56,$1.33,15.46
2015-06-30,21.78,$1.41,15.44
2015-03-31,22.41,$1.44,15.56
2014-12-31,19.89,$1.42,14.01
2014-09-30,18.72,$1.62,11.55
2014-06-30,18.62,$1.59,11.71
2014-03-31,19.97,$3.12,6.4
2013-12-31,18.89,$3.14,6.02
2013-09-30,17.58,$3.60,4.88
2013-06-30,17.0,$3.64,4.67
2013-03-31,17.37,$2.09,8.31
2012-12-31,14.96,$1.95,7.67
2012-09-30,14.69,$1.29,11.39
2012-06-30,13.48,$1.34,10.06
2012-03-31,13.14,$1.24,10.6
2011-12-31,12.43,$1.28,9.71
2011-09-30,10.05,$1.45,6.93
2011-06-30,11.59,$1.08,10.73
2011-03-31,11.31,$1.06,10.67
2010-12-31,9.65,$1.03,9.37
2010-09-30,9.37,$0.77,12.16
2010-06-30,7.69,$1.09,7.06
2010-03-31,9.16,$1.12,8.18
2009-12-31,9.62,$1.27,7.58
