Oncology Institute PE Ratio Historical Data,Oncology Institute PE Ratio Historical Data,Oncology Institute PE Ratio Historical Data,Oncology Institute PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.96,,0.0
2024-09-30,0.33,$-0.78,0.0
2024-06-30,0.46,$-0.79,0.0
2024-03-31,1.58,$-0.81,0.0
2023-12-31,2.04,$-0.92,0.0
2023-09-30,1.4,$-0.86,0.0
2023-06-30,0.55,$-0.84,0.0
2023-03-31,0.68,$-0.71,0.0
2022-12-31,1.65,$-0.17,0.0
2022-09-30,4.63,$-0.17,0.0
2022-06-30,5.06,0,0.0
2022-03-31,7.13,$0.06,118.83
2021-12-31,9.75,$-0.15,0.0
2021-09-30,9.94,0,0.0
2021-06-30,9.95,0,0.0
2021-03-31,9.96,0,0.0
