SPAR PE Ratio Historical Data,SPAR PE Ratio Historical Data,SPAR PE Ratio Historical Data,SPAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.36,,2.67
2024-09-30,2.45,$0.51,4.8
2024-06-30,2.41,$0.53,4.55
2024-03-31,0.97,$0.41,2.36
2023-12-31,1.01,$0.17,5.94
2023-09-30,0.96,$0.06,16.05
2023-06-30,1.26,$0.05,25.2
2023-03-31,1.29,$0.07,18.43
2022-12-31,1.3,$0.06,21.67
2022-09-30,1.45,$-0.12,0.0
2022-06-30,1.18,$-0.06,0.0
2022-03-31,1.3,$-0.09,0.0
2021-12-31,1.23,$-0.08,0.0
2021-09-30,1.39,$0.22,6.32
2021-06-30,1.43,$0.21,6.81
2021-03-31,1.68,$0.19,8.84
2020-12-31,1.15,$0.16,7.19
2020-09-30,0.76,$0.03,25.37
2020-06-30,0.75,$0.02,37.7
2020-03-31,0.65,$0.09,7.22
2019-12-31,1.3,$0.11,11.82
2019-09-30,1.03,$0.11,9.36
2019-06-30,0.68,$0.10,6.78
2019-03-31,0.63,$-0.06,0.0
2018-12-31,0.54,$-0.08,0.0
2018-09-30,0.98,$-0.11,0.0
2018-06-30,1.26,$-0.13,0.0
2018-03-31,1.4,$-0.02,0.0
2017-12-31,1.23,$-0.04,0.0
2017-09-30,1.06,$0.02,53.0
2017-06-30,1.0,$0.01,100.15
2017-03-31,1.02,0,0.0
2016-12-31,1.0,0,0.0
2016-09-30,1.01,$0.05,20.2
2016-06-30,1.05,$0.05,21.0
2016-03-31,0.97,$0.04,24.25
2015-12-31,1.02,$0.05,20.4
2015-09-30,1.5,$0.12,12.5
2015-06-30,1.3,$0.14,9.29
2015-03-31,1.46,$0.17,8.59
2014-12-31,1.4,$0.15,9.33
2014-09-30,1.51,$0.17,8.88
2014-06-30,1.51,$0.17,8.88
2014-03-31,1.97,$0.13,15.15
2013-12-31,1.98,$0.15,13.2
2013-09-30,1.82,$0.07,26.0
2013-06-30,2.73,$0.08,34.13
2013-03-31,1.92,$0.12,16.0
2012-12-31,1.74,$0.13,13.38
2012-09-30,1.66,$0.13,12.77
2012-06-30,1.15,$0.11,10.45
2012-03-31,1.35,$0.10,13.5
2011-12-31,1.0,$0.10,10.0
2011-09-30,1.2,$0.10,12.0
2011-06-30,1.12,$0.11,10.18
2011-03-31,1.73,$0.12,14.42
2010-12-31,0.83,$0.11,7.55
2010-09-30,0.95,$0.07,13.57
2010-06-30,0.78,$0.06,13.0
2010-03-31,0.86,$0.04,21.5
2009-12-31,0.8,$0.03,26.67
