Ryder System PE Ratio Historical Data,Ryder System PE Ratio Historical Data,Ryder System PE Ratio Historical Data,Ryder System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,140.46,,12.67
2024-12-31,156.86,$11.09,14.14
2024-09-30,145.07,$10.69,13.57
2024-06-30,122.54,$10.92,11.22
2024-03-31,118.22,$7.68,15.39
2023-12-31,112.43,$8.73,12.88
2023-09-30,103.82,$10.19,10.19
2023-06-30,81.71,$11.54,7.08
2023-03-31,85.34,$16.64,5.13
2022-12-31,79.41,$17.05,4.66
2022-09-30,71.25,$16.22,4.39
2022-06-30,66.56,$13.97,4.76
2022-03-31,73.76,$12.04,6.13
2021-12-31,76.09,$9.64,7.89
2021-09-30,75.82,$6.77,11.2
2021-06-30,67.61,$4.88,13.86
2021-03-31,68.34,$0.69,99.04
2020-12-31,55.32,$-2.36,0.0
2020-09-30,37.46,$-3.86,0.0
2020-06-30,32.8,$-6.29,0.0
2020-03-31,22.69,$-3.44,0.0
2019-12-31,45.97,$-0.48,0.0
2019-09-30,43.36,$2.60,16.68
2019-06-30,48.26,$6.03,8.0
2019-03-31,50.84,$5.40,9.42
2018-12-31,39.16,$5.17,7.57
2018-09-30,58.85,$15.22,3.87
2018-06-30,57.48,$14.65,3.92
2018-03-31,57.77,$14.81,3.9
2017-12-31,66.35,$14.89,4.46
2017-09-30,66.26,$3.69,17.96
2017-06-30,56.05,$4.17,13.44
2017-03-31,58.34,$4.59,12.71
2016-12-31,57.24,$4.92,11.63
2016-09-30,50.43,$5.44,9.27
2016-06-30,46.44,$5.55,8.37
2016-03-31,48.9,$5.77,8.48
2015-12-31,42.6,$4.83,8.82
2015-09-30,55.16,$3.61,15.28
2015-06-30,64.78,$3.48,18.61
2015-03-31,70.08,$3.29,21.3
2014-12-31,68.3,$4.09,16.7
2014-09-30,65.92,$5.10,12.93
2014-06-30,64.27,$4.88,13.17
2014-03-31,58.07,$4.66,12.46
2013-12-31,53.35,$4.53,11.78
2013-09-30,42.95,$4.36,9.85
2013-06-30,43.48,$4.48,9.71
2013-03-31,42.52,$4.20,10.12
2012-12-31,35.35,$4.10,8.62
2012-09-30,27.46,$3.98,6.9
2012-06-30,25.13,$3.61,6.96
2012-03-31,36.59,$3.47,10.54
2011-12-31,36.63,$3.28,11.17
2011-09-30,25.71,$3.07,8.37
2011-06-30,38.7,$2.71,14.28
2011-03-31,34.28,$2.50,13.71
2010-12-31,35.46,$2.25,15.76
2010-09-30,28.64,$1.68,17.05
2010-06-30,26.75,$1.37,19.53
2010-03-31,25.63,$1.22,21.01
2009-12-31,27.03,$1.11,24.35
