Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.68,,21.66
2025-01-31,29.98,$1.37,21.88
2024-10-31,30.55,$1.46,20.92
2024-07-31,31.82,$1.42,22.41
2024-04-30,34.92,$1.40,24.94
2024-01-31,29.58,$1.46,20.26
2023-10-31,31.42,$1.46,21.52
2023-07-31,39.12,$1.61,24.3
2023-04-30,38.44,$1.71,22.48
2023-01-31,42.77,$1.79,23.89
2022-10-31,43.58,$1.83,23.82
2022-07-31,46.03,$1.83,25.15
2022-04-30,48.61,$1.75,27.78
2022-01-31,43.83,$1.69,25.93
2021-10-31,38.87,$1.66,23.41
2021-07-31,42.35,$1.58,26.81
2021-04-30,41.97,$1.63,25.75
2021-01-31,42.35,$1.63,25.98
2020-10-31,43.77,$1.67,26.21
2020-07-31,45.5,$1.71,26.61
2020-04-30,41.71,$1.71,24.39
2020-01-31,41.87,$1.81,23.13
2019-10-31,36.04,$1.80,20.02
2019-07-31,35.95,$1.81,19.86
2019-04-30,34.85,$1.83,19.04
2019-01-31,36.74,$1.75,20.99
2018-10-31,37.7,$1.87,20.16
2018-07-31,30.93,$1.80,17.18
2018-04-30,31.02,$1.75,17.72
2018-01-31,29.22,$1.70,17.19
2017-10-31,26.38,$1.58,16.69
2017-07-31,28.77,$1.62,17.76
2017-04-30,29.38,$1.64,17.91
2017-01-31,30.25,$1.65,18.33
2016-10-31,31.93,$1.64,19.47
2016-07-31,30.86,$1.54,20.1
2016-04-30,31.72,$1.45,21.95
2016-01-31,32.96,$1.38,23.89
2015-10-31,27.59,$1.27,21.72
2015-07-31,24.09,$1.24,19.43
2015-04-30,22.02,$1.23,17.97
2015-01-31,20.66,$1.15,17.97
2014-10-31,21.64,$1.12,19.41
2014-07-31,18.1,$1.09,16.6
2014-04-30,18.99,$1.05,18.17
2014-01-31,18.02,$1.02,17.75
2013-10-31,17.16,$0.97,17.69
2013-07-31,16.65,$0.93,18.0
2013-04-30,16.16,$0.92,17.57
2013-01-31,13.5,$0.93,14.51
2012-10-31,11.4,$0.93,12.26
2012-07-31,10.72,$0.90,11.91
2012-04-30,11.11,$0.88,12.69
2012-01-31,10.94,$0.84,13.1
2011-10-31,11.15,$0.87,12.81
2011-07-31,10.91,$0.88,12.4
2011-04-30,11.03,$0.86,12.86
2011-01-31,9.22,$0.80,11.52
2010-10-31,8.53,$0.73,11.68
2010-07-31,7.93,$0.70,11.37
2010-04-30,7.5,$0.68,10.98
2010-01-31,7.08,$0.69,10.3
2009-10-31,6.64,$0.63,10.49
